platform,year,geography,gmv_usd_billion,source_origin,source_url,evidence_class,scope_note
Shopee,2020,Southeast Asia,24.3,Momentum Works as reported by Katadata,https://databoks.katadata.co.id/teknologi-telekomunikasi/statistik/685d3cef5a751/shopee-kuasai-gmv-e-commerce-di-asia-tenggara-hingga-2024,external_regional_estimate,Regional platform GMV and not issuer revenue or an Indonesia observation
Lazada,2020,Southeast Asia,13.1,Momentum Works as reported by Katadata,https://databoks.katadata.co.id/teknologi-telekomunikasi/statistik/685d3cef5a751/shopee-kuasai-gmv-e-commerce-di-asia-tenggara-hingga-2024,external_regional_estimate,Regional platform GMV and not matched to Alibaba International Commerce revenue
Tokopedia,2020,Southeast Asia,10.9,Momentum Works as reported by Katadata,https://databoks.katadata.co.id/teknologi-telekomunikasi/statistik/685d3cef5a751/shopee-kuasai-gmv-e-commerce-di-asia-tenggara-hingga-2024,external_regional_estimate,Tokopedia is principally Indonesia-focused but this row is retained in the regional source's published scope
Shopee,2021,Southeast Asia,42.5,Momentum Works as reported by Katadata,https://databoks.katadata.co.id/teknologi-telekomunikasi/statistik/685d3cef5a751/shopee-kuasai-gmv-e-commerce-di-asia-tenggara-hingga-2024,external_regional_estimate,Regional platform GMV and not issuer revenue or an Indonesia observation
Lazada,2021,Southeast Asia,21.0,Momentum Works as reported by Katadata,https://databoks.katadata.co.id/teknologi-telekomunikasi/statistik/685d3cef5a751/shopee-kuasai-gmv-e-commerce-di-asia-tenggara-hingga-2024,external_regional_estimate,Regional platform GMV and not matched to Alibaba International Commerce revenue
Tokopedia,2021,Southeast Asia,16.1,Momentum Works as reported by Katadata,https://databoks.katadata.co.id/teknologi-telekomunikasi/statistik/685d3cef5a751/shopee-kuasai-gmv-e-commerce-di-asia-tenggara-hingga-2024,external_regional_estimate,Reporting scope follows the external regional table
TikTok Shop,2021,Southeast Asia,0.6,Momentum Works as reported by Katadata,https://databoks.katadata.co.id/teknologi-telekomunikasi/statistik/685d3cef5a751/shopee-kuasai-gmv-e-commerce-di-asia-tenggara-hingga-2024,external_regional_estimate,Indonesia was the initial regional market but the row follows the source's regional series
Shopee,2022,Southeast Asia,47.9,Momentum Works as reported by Katadata,https://databoks.katadata.co.id/teknologi-telekomunikasi/statistik/685d3cef5a751/shopee-kuasai-gmv-e-commerce-di-asia-tenggara-hingga-2024,external_regional_estimate,Regional platform GMV and not issuer revenue or an Indonesia observation
Lazada,2022,Southeast Asia,20.1,Momentum Works as reported by Katadata,https://databoks.katadata.co.id/teknologi-telekomunikasi/statistik/685d3cef5a751/shopee-kuasai-gmv-e-commerce-di-asia-tenggara-hingga-2024,external_regional_estimate,Regional platform GMV and not matched to Alibaba International Commerce revenue
Tokopedia,2022,Southeast Asia,18.4,Momentum Works as reported by Katadata,https://databoks.katadata.co.id/teknologi-telekomunikasi/statistik/685d3cef5a751/shopee-kuasai-gmv-e-commerce-di-asia-tenggara-hingga-2024,external_regional_estimate,Reporting scope follows the external regional table
