country,iso3,observation_year,report_vintage,ecommerce_gmv,online_media_gmv,online_travel_gmv,overall_digital_economy_gmv,transport_and_food_gmv,ecommerce_share_of_digital_pct,reported_component_sum_usd_billion,component_rounding_residual_usd_billion,selection_rule,analytical_role,gdp_current_usd,household_consumption_current_usd,internet_users_pct,population,ecommerce_gmv_pct_of_gdp,ecommerce_gmv_pct_of_household_consumption,ecommerce_gmv_per_capita_usd,ratio_warning
Indonesia,IDN,2019,2022,25.0,3.0,7.0,41.0,6.0,60.97560975609756,41.0,0.0,latest available publication vintage for the country-year,ASEAN corroboration; country retained as separate unit,1119099871350.2,648299754543.782,47.6906489788375,272489381.0,2.233938242691188,3.8562408553729695,91.74669452531803,"GMV intensity only; not value added, GDP contribution, income, or tax base"
Indonesia,IDN,2020,2021,35.0,4.3,2.6,47.0,5.1,74.46808510638297,47.0,0.0,latest available publication vintage for the country-year,ASEAN corroboration; country retained as separate unit,1059054842698.48,624142240218.418,53.72649449,274814866.0,3.304833573190575,5.60769608987717,127.35846684509418,"GMV intensity only; not value added, GDP contribution, income, or tax base"
Indonesia,IDN,2021,2023,48.0,6.0,2.0,63.0,7.0,76.19047619047619,63.0,0.0,latest available publication vintage for the country-year,ASEAN corroboration; country retained as separate unit,1186509691086.73,660041259479.635,62.10447842,276758053.0,4.045478967477844,7.272272651234313,173.43668767607642,"GMV intensity only; not value added, GDP contribution, income, or tax base"
Indonesia,IDN,2022,2024,58.0,6.0,3.0,76.0,8.0,76.3157894736842,75.0,1.0,latest available publication vintage for the country-year,ASEAN corroboration; country retained as separate unit,1319101183380.15,699718159840.626,66.48461277,278830529.0,4.396933361198044,8.28905169664463,208.01165571077047,"GMV intensity only; not value added, GDP contribution, income, or tax base"
Indonesia,IDN,2023,2025,59.0,7.0,7.0,80.0,8.0,73.75,81.0,-1.0,latest available publication vintage for the country-year,ASEAN corroboration; country retained as separate unit,1371166925749.88,746328378694.142,69.20836554,281190067.0,4.30290425563856,7.90536735360819,209.82248992458187,"GMV intensity only; not value added, GDP contribution, income, or tax base"
Indonesia,IDN,2024,2025,62.0,8.0,8.0,87.0,9.0,71.26436781609195,87.0,0.0,latest available publication vintage for the country-year,ASEAN corroboration; country retained as separate unit,1396301788461.69,773583409659.876,72.78075544,283487931.0,4.440300836992094,8.014649645506196,218.70419591160655,"GMV intensity only; not value added, GDP contribution, income, or tax base"
Indonesia,IDN,2025,2025,71.0,9.0,9.0,99.0,10.0,71.71717171717172,99.0,0.0,latest available publication vintage for the country-year,ASEAN corroboration; country retained as separate unit,1445642584163.81,798424917156.092,,285721236.0,4.9113107747215325,8.892508046078364,248.49395513604736,"GMV intensity only; not value added, GDP contribution, income, or tax base"
Malaysia,MYS,2019,2022,3.0,2.0,5.0,12.0,1.0,25.0,11.0,1.0,latest available publication vintage for the country-year,ASEAN corroboration; country retained as separate unit,365177721021.516,218272887190.493,84.1871450078281,33440596.0,0.8215178055244072,1.3744263149741607,89.71131973844007,"GMV intensity only; not value added, GDP contribution, income, or tax base"
Malaysia,MYS,2020,2021,8.0,2.1,2.2,14.0,1.4,57.142857142857146,13.700000000000001,0.29999999999999893,latest available publication vintage for the country-year,ASEAN corroboration; country retained as separate unit,337456163961.211,205888852146.863,89.55501192,33889558.0,2.370678284874821,3.885591627026753,236.06091292190945,"GMV intensity only; not value added, GDP contribution, income, or tax base"
Malaysia,MYS,2021,2023,13.0,3.0,1.0,19.0,2.0,68.42105263157895,19.0,0.0,latest available publication vintage for the country-year,ASEAN corroboration; country retained as separate unit,373784553029.978,216822304116.19,96.7514278,34282399.0,3.477939335539471,5.9956931335964425,379.20333404905534,"GMV intensity only; not value added, GDP contribution, income, or tax base"
