country,observation_year,metric,publication_vintages,earliest_value,latest_value,min_value,max_value,earliest_vintage,latest_vintage,latest_minus_earliest_usd_billion,latest_minus_earliest_pct,revision_interpretation
Indonesia,2019,ecommerce_gmv,2,21.0,25.0,21.0,25.0,2021,2022,4.0,19.047619047619047,publication-vintage change; not economic growth
Indonesia,2019,online_media_gmv,2,3.5,3.0,3.0,3.5,2021,2022,-0.5,-14.28571428571429,publication-vintage change; not economic growth
Indonesia,2019,online_travel_gmv,2,10.1,7.0,7.0,10.1,2021,2022,-3.0999999999999996,-30.69306930693069,publication-vintage change; not economic growth
Indonesia,2019,overall_digital_economy_gmv,2,40.0,41.0,40.0,41.0,2021,2022,1.0,2.499999999999991,publication-vintage change; not economic growth
Indonesia,2019,transport_and_food_gmv,2,5.7,6.0,5.7,6.0,2021,2022,0.2999999999999998,5.263157894736836,publication-vintage change; not economic growth
Indonesia,2020,ecommerce_gmv,1,35.0,35.0,35.0,35.0,2021,2021,0.0,0.0,publication-vintage change; not economic growth
Indonesia,2020,online_media_gmv,1,4.3,4.3,4.3,4.3,2021,2021,0.0,0.0,publication-vintage change; not economic growth
Indonesia,2020,online_travel_gmv,1,2.6,2.6,2.6,2.6,2021,2021,0.0,0.0,publication-vintage change; not economic growth
Indonesia,2020,overall_digital_economy_gmv,1,47.0,47.0,47.0,47.0,2021,2021,0.0,0.0,publication-vintage change; not economic growth
Indonesia,2020,transport_and_food_gmv,1,5.1,5.1,5.1,5.1,2021,2021,0.0,0.0,publication-vintage change; not economic growth
Indonesia,2021,ecommerce_gmv,3,53.0,48.0,48.0,53.0,2021,2023,-5.0,-9.433962264150942,publication-vintage change; not economic growth
Indonesia,2021,online_media_gmv,3,6.4,6.0,6.0,6.4,2021,2023,-0.40000000000000036,-6.25,publication-vintage change; not economic growth
Indonesia,2021,online_travel_gmv,3,3.4,2.0,2.0,3.4,2021,2023,-1.4,-41.17647058823529,publication-vintage change; not economic growth
Indonesia,2021,overall_digital_economy_gmv,3,70.0,63.0,63.0,70.0,2021,2023,-7.0,-9.999999999999998,publication-vintage change; not economic growth
Indonesia,2021,transport_and_food_gmv,3,6.9,7.0,6.9,7.0,2021,2023,0.09999999999999964,1.4492753623188248,publication-vintage change; not economic growth
Indonesia,2022,ecommerce_gmv,3,59.0,58.0,58.0,59.0,2022,2024,-1.0,-1.6949152542372836,publication-vintage change; not economic growth
Indonesia,2022,online_media_gmv,3,6.4,6.0,6.0,6.4,2022,2024,-0.40000000000000036,-6.25,publication-vintage change; not economic growth
Indonesia,2022,online_travel_gmv,3,3.0,3.0,3.0,3.0,2022,2024,0.0,0.0,publication-vintage change; not economic growth
Indonesia,2022,overall_digital_economy_gmv,3,77.0,76.0,76.0,77.0,2022,2024,-1.0,-1.2987012987012991,publication-vintage change; not economic growth
Indonesia,2022,transport_and_food_gmv,3,8.0,8.0,8.0,8.0,2022,2024,0.0,0.0,publication-vintage change; not economic growth
Indonesia,2023,ecommerce_gmv,3,62.0,59.0,59.0,62.0,2023,2025,-3.0,-4.8387096774193505,publication-vintage change; not economic growth
Indonesia,2023,online_media_gmv,3,7.0,7.0,7.0,7.0,2023,2025,0.0,0.0,publication-vintage change; not economic growth
Indonesia,2023,online_travel_gmv,3,6.0,7.0,6.0,7.0,2023,2025,1.0,16.666666666666675,publication-vintage change; not economic growth
Indonesia,2023,overall_digital_economy_gmv,3,82.0,80.0,80.0,82.0,2023,2025,-2.0,-2.4390243902439046,publication-vintage change; not economic growth
Indonesia,2023,transport_and_food_gmv,3,7.0,8.0,7.0,8.0,2023,2025,1.0,14.28571428571428,publication-vintage change; not economic growth
Indonesia,2024,ecommerce_gmv,2,65.0,62.0,62.0,65.0,2024,2025,-3.0,-4.61538461538461,publication-vintage change; not economic growth
Indonesia,2024,online_media_gmv,2,8.0,8.0,8.0,8.0,2024,2025,0.0,0.0,publication-vintage change; not economic growth
Indonesia,2024,online_travel_gmv,2,9.0,8.0,8.0,9.0,2024,2025,-1.0,-11.111111111111116,publication-vintage change; not economic growth
Indonesia,2024,overall_digital_economy_gmv,2,90.0,87.0,87.0,90.0,2024,2025,-3.0,-3.3333333333333326,publication-vintage change; not economic growth
Indonesia,2024,transport_and_food_gmv,2,9.0,9.0,9.0,9.0,2024,2025,0.0,0.0,publication-vintage change; not economic growth
Indonesia,2025,ecommerce_gmv,1,71.0,71.0,71.0,71.0,2025,2025,0.0,0.0,publication-vintage change; not economic growth
Indonesia,2025,online_media_gmv,1,9.0,9.0,9.0,9.0,2025,2025,0.0,0.0,publication-vintage change; not economic growth
Indonesia,2025,online_travel_gmv,1,9.0,9.0,9.0,9.0,2025,2025,0.0,0.0,publication-vintage change; not economic growth
Indonesia,2025,overall_digital_economy_gmv,1,99.0,99.0,99.0,99.0,2025,2025,0.0,0.0,publication-vintage change; not economic growth
Indonesia,2025,transport_and_food_gmv,1,10.0,10.0,10.0,10.0,2025,2025,0.0,0.0,publication-vintage change; not economic growth
Malaysia,2019,ecommerce_gmv,2,3.0,3.0,3.0,3.0,2021,2022,0.0,0.0,publication-vintage change; not economic growth
Malaysia,2019,online_media_gmv,2,1.8,2.0,1.8,2.0,2021,2022,0.19999999999999996,11.111111111111116,publication-vintage change; not economic growth
Malaysia,2019,online_travel_gmv,2,4.7,5.0,4.7,5.0,2021,2022,0.2999999999999998,6.382978723404253,publication-vintage change; not economic growth
Malaysia,2019,overall_digital_economy_gmv,2,11.0,12.0,11.0,12.0,2021,2022,1.0,9.090909090909083,publication-vintage change; not economic growth
Malaysia,2019,transport_and_food_gmv,2,0.9,1.0,0.9,1.0,2021,2022,0.09999999999999998,11.111111111111116,publication-vintage change; not economic growth
Malaysia,2020,ecommerce_gmv,1,8.0,8.0,8.0,8.0,2021,2021,0.0,0.0,publication-vintage change; not economic growth
Malaysia,2020,online_media_gmv,1,2.1,2.1,2.1,2.1,2021,2021,0.0,0.0,publication-vintage change; not economic growth
Malaysia,2020,online_travel_gmv,1,2.2,2.2,2.2,2.2,2021,2021,0.0,0.0,publication-vintage change; not economic growth
Malaysia,2020,overall_digital_economy_gmv,1,14.0,14.0,14.0,14.0,2021,2021,0.0,0.0,publication-vintage change; not economic growth
Malaysia,2020,transport_and_food_gmv,1,1.4,1.4,1.4,1.4,2021,2021,0.0,0.0,publication-vintage change; not economic growth
Malaysia,2021,ecommerce_gmv,3,14.0,13.0,13.0,14.0,2021,2023,-1.0,-7.14285714285714,publication-vintage change; not economic growth
Malaysia,2021,online_media_gmv,3,2.4,3.0,2.4,3.0,2021,2023,0.6000000000000001,25.0,publication-vintage change; not economic growth
Malaysia,2021,online_travel_gmv,3,2.2,1.0,1.0,2.2,2021,2023,-1.2000000000000002,-54.54545454545454,publication-vintage change; not economic growth
Malaysia,2021,overall_digital_economy_gmv,3,21.0,19.0,18.0,21.0,2021,2023,-2.0,-9.523809523809524,publication-vintage change; not economic growth
Malaysia,2021,transport_and_food_gmv,3,1.8,2.0,1.8,2.0,2021,2023,0.19999999999999996,11.111111111111116,publication-vintage change; not economic growth
Malaysia,2022,ecommerce_gmv,3,14.0,13.0,13.0,14.0,2022,2024,-1.0,-7.14285714285714,publication-vintage change; not economic growth
Malaysia,2022,online_media_gmv,3,2.8,3.0,2.8,3.0,2022,2024,0.20000000000000018,7.14285714285714,publication-vintage change; not economic growth
Malaysia,2022,online_travel_gmv,3,2.0,3.0,2.0,3.0,2022,2024,1.0,50.0,publication-vintage change; not economic growth
Malaysia,2022,overall_digital_economy_gmv,3,21.0,22.0,21.0,22.0,2022,2024,1.0,4.761904761904767,publication-vintage change; not economic growth
Malaysia,2022,transport_and_food_gmv,3,2.5,3.0,2.5,3.0,2022,2024,0.5,19.999999999999996,publication-vintage change; not economic growth
Malaysia,2023,ecommerce_gmv,3,13.0,13.0,13.0,13.0,2023,2025,0.0,0.0,publication-vintage change; not economic growth
Malaysia,2023,online_media_gmv,3,3.0,3.0,3.0,3.0,2023,2025,0.0,0.0,publication-vintage change; not economic growth
Malaysia,2023,online_travel_gmv,3,4.0,6.0,4.0,6.0,2023,2025,2.0,50.0,publication-vintage change; not economic growth
Malaysia,2023,overall_digital_economy_gmv,3,23.0,26.0,23.0,26.0,2023,2025,3.0,13.043478260869556,publication-vintage change; not economic growth
Malaysia,2023,transport_and_food_gmv,3,3.0,3.0,3.0,3.0,2023,2025,0.0,0.0,publication-vintage change; not economic growth
Malaysia,2024,ecommerce_gmv,2,16.0,17.0,16.0,17.0,2024,2025,1.0,6.25,publication-vintage change; not economic growth
Malaysia,2024,online_media_gmv,2,4.0,3.0,3.0,4.0,2024,2025,-1.0,-25.0,publication-vintage change; not economic growth
Malaysia,2024,online_travel_gmv,2,8.0,9.0,8.0,9.0,2024,2025,1.0,12.5,publication-vintage change; not economic growth
Malaysia,2024,overall_digital_economy_gmv,2,31.0,33.0,31.0,33.0,2024,2025,2.0,6.451612903225801,publication-vintage change; not economic growth
Malaysia,2024,transport_and_food_gmv,2,4.0,4.0,4.0,4.0,2024,2025,0.0,0.0,publication-vintage change; not economic growth
Malaysia,2025,ecommerce_gmv,1,20.0,20.0,20.0,20.0,2025,2025,0.0,0.0,publication-vintage change; not economic growth
Malaysia,2025,online_media_gmv,1,4.0,4.0,4.0,4.0,2025,2025,0.0,0.0,publication-vintage change; not economic growth
Malaysia,2025,online_travel_gmv,1,10.0,10.0,10.0,10.0,2025,2025,0.0,0.0,publication-vintage change; not economic growth
Malaysia,2025,overall_digital_economy_gmv,1,39.0,39.0,39.0,39.0,2025,2025,0.0,0.0,publication-vintage change; not economic growth
Malaysia,2025,transport_and_food_gmv,1,4.0,4.0,4.0,4.0,2025,2025,0.0,0.0,publication-vintage change; not economic growth
Philippines,2019,ecommerce_gmv,2,3.0,3.0,3.0,3.0,2021,2022,0.0,0.0,publication-vintage change; not economic growth
Philippines,2019,online_media_gmv,2,1.7,2.0,1.7,2.0,2021,2022,0.30000000000000004,17.647058823529417,publication-vintage change; not economic growth
Philippines,2019,online_travel_gmv,2,2.0,2.0,2.0,2.0,2021,2022,0.0,0.0,publication-vintage change; not economic growth
Philippines,2019,overall_digital_economy_gmv,2,7.0,8.0,7.0,8.0,2021,2022,1.0,14.28571428571428,publication-vintage change; not economic growth
Philippines,2019,transport_and_food_gmv,2,0.8,1.0,0.8,1.0,2021,2022,0.19999999999999996,25.0,publication-vintage change; not economic growth
Philippines,2020,ecommerce_gmv,1,5.0,5.0,5.0,5.0,2021,2021,0.0,0.0,publication-vintage change; not economic growth
Philippines,2020,online_media_gmv,1,2.1,2.1,2.1,2.1,2021,2021,0.0,0.0,publication-vintage change; not economic growth
Philippines,2020,online_travel_gmv,1,0.5,0.5,0.5,0.5,2021,2021,0.0,0.0,publication-vintage change; not economic growth
Philippines,2020,overall_digital_economy_gmv,1,9.0,9.0,9.0,9.0,2021,2021,0.0,0.0,publication-vintage change; not economic growth
Philippines,2020,transport_and_food_gmv,1,1.0,1.0,1.0,1.0,2021,2021,0.0,0.0,publication-vintage change; not economic growth
Philippines,2021,ecommerce_gmv,3,12.0,12.0,12.0,12.0,2021,2023,0.0,0.0,publication-vintage change; not economic growth
Philippines,2021,online_media_gmv,3,2.8,3.0,2.6,3.0,2021,2023,0.20000000000000018,7.14285714285714,publication-vintage change; not economic growth
Philippines,2021,online_travel_gmv,3,0.7,0.5,0.4,0.7,2021,2023,-0.19999999999999996,-28.57142857142857,publication-vintage change; not economic growth
Philippines,2021,overall_digital_economy_gmv,3,17.0,17.0,16.0,17.0,2021,2023,0.0,0.0,publication-vintage change; not economic growth
Philippines,2021,transport_and_food_gmv,3,1.4,2.0,1.4,2.0,2021,2023,0.6000000000000001,42.85714285714286,publication-vintage change; not economic growth
Philippines,2022,ecommerce_gmv,3,14.0,15.0,14.0,15.0,2022,2024,1.0,7.14285714285714,publication-vintage change; not economic growth
Philippines,2022,online_media_gmv,3,3.1,3.0,3.0,3.1,2022,2024,-0.10000000000000009,-3.2258064516129115,publication-vintage change; not economic growth
Philippines,2022,online_travel_gmv,3,1.0,1.0,1.0,1.0,2022,2024,0.0,0.0,publication-vintage change; not economic growth
Philippines,2022,overall_digital_economy_gmv,3,20.0,22.0,20.0,22.0,2022,2024,2.0,10.000000000000009,publication-vintage change; not economic growth
Philippines,2022,transport_and_food_gmv,3,1.9,2.0,1.9,2.0,2022,2024,0.10000000000000009,5.263157894736836,publication-vintage change; not economic growth
Philippines,2023,ecommerce_gmv,3,16.0,17.0,16.0,17.0,2023,2025,1.0,6.25,publication-vintage change; not economic growth
Philippines,2023,online_media_gmv,3,3.0,3.0,3.0,4.0,2023,2025,0.0,0.0,publication-vintage change; not economic growth
Philippines,2023,online_travel_gmv,3,3.0,3.0,3.0,3.0,2023,2025,0.0,0.0,publication-vintage change; not economic growth
Philippines,2023,overall_digital_economy_gmv,3,24.0,26.0,24.0,26.0,2023,2025,2.0,8.333333333333325,publication-vintage change; not economic growth
Philippines,2023,transport_and_food_gmv,3,2.0,2.0,2.0,3.0,2023,2025,0.0,0.0,publication-vintage change; not economic growth
Philippines,2024,ecommerce_gmv,2,21.0,20.0,20.0,21.0,2024,2025,-1.0,-4.761904761904767,publication-vintage change; not economic growth
Philippines,2024,online_media_gmv,2,4.0,4.0,4.0,4.0,2024,2025,0.0,0.0,publication-vintage change; not economic growth
Philippines,2024,online_travel_gmv,2,3.0,4.0,3.0,4.0,2024,2025,1.0,33.33333333333333,publication-vintage change; not economic growth
Philippines,2024,overall_digital_economy_gmv,2,31.0,31.0,31.0,31.0,2024,2025,0.0,0.0,publication-vintage change; not economic growth
Philippines,2024,transport_and_food_gmv,2,3.0,3.0,3.0,3.0,2024,2025,0.0,0.0,publication-vintage change; not economic growth
Philippines,2025,ecommerce_gmv,1,24.0,24.0,24.0,24.0,2025,2025,0.0,0.0,publication-vintage change; not economic growth
Philippines,2025,online_media_gmv,1,5.0,5.0,5.0,5.0,2025,2025,0.0,0.0,publication-vintage change; not economic growth
Philippines,2025,online_travel_gmv,1,4.0,4.0,4.0,4.0,2025,2025,0.0,0.0,publication-vintage change; not economic growth
Philippines,2025,overall_digital_economy_gmv,1,36.0,36.0,36.0,36.0,2025,2025,0.0,0.0,publication-vintage change; not economic growth
Philippines,2025,transport_and_food_gmv,1,4.0,4.0,4.0,4.0,2025,2025,0.0,0.0,publication-vintage change; not economic growth
Singapore,2019,ecommerce_gmv,2,1.9,2.0,1.9,2.0,2021,2022,0.10000000000000009,5.263157894736836,publication-vintage change; not economic growth
Singapore,2019,online_media_gmv,2,1.5,1.6,1.5,1.6,2021,2022,0.10000000000000009,6.666666666666665,publication-vintage change; not economic growth
Singapore,2019,online_travel_gmv,2,6.2,6.0,6.0,6.2,2021,2022,-0.20000000000000018,-3.2258064516129115,publication-vintage change; not economic growth
Singapore,2019,overall_digital_economy_gmv,2,13.0,12.0,12.0,13.0,2021,2022,-1.0,-7.692307692307687,publication-vintage change; not economic growth
