province,financial_reports_have_pct,financial_reports_not_have_pct,website_sales_media_pct,email_sales_media_pct,instant_messaging_sales_media_pct,social_media_sales_media_pct,marketplace_sales_media_pct,year,source_status,source_url,source_locator,definition_note
Aceh,19.52,80.48,0.39,2.89,98.72,47.11,5.50,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Sumatera Utara,15.60,84.40,0.98,6.08,97.67,53.82,8.28,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Sumatera Barat,13.48,86.52,1.23,1.44,94.82,39.00,16.94,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Riau,20.15,79.85,2.39,4.97,94.77,50.55,14.55,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Jambi,16.49,83.51,0.84,3.12,97.84,47.52,10.69,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Sumatera Selatan,14.96,85.04,1.12,3.23,94.62,46.63,15.18,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Bengkulu,16.02,83.98,1.57,4.01,97.04,55.82,10.35,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Lampung,15.53,84.47,1.60,1.93,97.74,34.80,11.78,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Kep. Bangka Belitung,11.72,88.28,1.07,1.91,99.10,41.70,3.25,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Kepulauan Riau,28.99,71.01,2.59,1.66,96.19,42.04,16.89,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
DKI Jakarta,20.61,79.39,3.65,7.86,84.57,22.30,41.40,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Jawa Barat,17.66,82.34,2.37,3.28,94.66,27.29,18.42,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Jawa Tengah,7.24,92.76,0.69,0.74,98.01,28.79,13.93,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
D.I. Yogyakarta,9.45,90.55,1.41,0.19,96.48,24.01,16.03,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Jawa Timur,14.99,85.01,0.84,3.63,98.19,31.60,15.08,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Banten,24.15,75.85,3.22,6.15,92.13,23.98,26.57,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Bali,20.36,79.64,5.45,6.92,93.61,33.05,22.85,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Nusa Tenggara Barat,9.38,90.62,1.97,1.46,97.76,63.03,10.27,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Nusa Tenggara Timur,21.10,78.90,1.40,2.55,93.38,67.55,14.13,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Kalimantan Barat,16.60,83.40,1.24,1.79,94.96,50.70,12.49,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Kalimantan Tengah,16.12,83.88,0.42,1.57,97.13,54.33,8.50,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Kalimantan Selatan,16.61,83.39,1.24,2.33,94.77,35.38,16.49,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Kalimantan Timur,16.19,83.81,1.59,1.54,97.48,54.96,12.89,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Kalimantan Utara,15.17,84.83,1.52,2.24,98.02,59.32,8.55,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Sulawesi Utara,25.53,74.47,7.49,9.44,88.05,82.91,15.21,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Sulawesi Tengah,24.97,75.03,0.63,3.64,91.46,70.40,11.45,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
