province,ecommerce_business_share_pct,ecommerce_business_share_rse_pct,estimated_ecommerce_businesses_2023,year,source_status,source_url,source_locator,definition_note
Aceh,0.88,5.84,33587,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Estimated count is author calculation: national estimate 3,816,750 multiplied by province share; use share rather than rounded count as analytical weight."
Sumatera Utara,3.80,6.19,145037,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Sumatera Barat,1.05,5.73,40076,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Riau,1.68,4.33,64121,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Jambi,0.80,5.53,30534,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Sumatera Selatan,0.91,6.47,34723,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Bengkulu,0.66,7.47,25191,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Lampung,1.52,7.68,58015,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Kep. Bangka Belitung,0.49,4.82,18703,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Kepulauan Riau,1.05,10.66,40076,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
DKI Jakarta,8.99,4.79,343126,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Jawa Barat,21.43,4.40,817930,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Jawa Tengah,17.66,5.13,673966,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
D.I. Yogyakarta,5.08,6.26,193885,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Jawa Timur,18.31,6.02,698685,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Banten,3.57,4.83,136239,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Bali,2.12,5.40,80922,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Nusa Tenggara Barat,1.01,4.70,38549,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Nusa Tenggara Timur,0.52,6.17,19847,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Kalimantan Barat,0.67,5.18,25570,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Kalimantan Tengah,0.49,5.09,18703,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Kalimantan Selatan,1.05,5.92,40076,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Kalimantan Timur,1.50,4.60,57251,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Kalimantan Utara,0.21,4.35,8015,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Sulawesi Utara,0.48,7.88,18320,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Sulawesi Tengah,0.50,5.28,19084,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
