province,financial_reports_have_pct,financial_reports_not_have_pct,website_sales_media_pct,email_sales_media_pct,instant_messaging_sales_media_pct,social_media_sales_media_pct,marketplace_sales_media_pct,estimated_ecommerce_businesses,ecommerce_business_count_rse_pct,year,source_status,source_locator,definition_note
Aceh,21.95,78.05,1.12,3.69,97.38,40.40,6.21,77754,4.98,2024,direct_official_statistical_table,"Appendices 3 p.52; 13 p.63; 14 p.64","Sales-media question allows multiple answers."
Sumatera Utara,14.28,85.72,1.13,2.48,96.71,37.05,11.20,150183,5.20,2024,direct_official_statistical_table,"Appendices 3 p.52; 13 p.63; 14 p.64","Same definition."
Sumatera Barat,14.18,85.82,0.84,1.85,95.16,32.95,14.25,76445,4.47,2024,direct_official_statistical_table,"Appendices 3 p.52; 13 p.63; 14 p.64","Same definition."
Riau,19.03,80.97,0.69,1.70,96.94,42.29,13.91,62718,4.72,2024,direct_official_statistical_table,"Appendices 3 p.52; 13 p.63; 14 p.64","Same definition."
Jambi,22.05,77.95,0.69,1.85,97.96,46.99,10.08,51727,5.88,2024,direct_official_statistical_table,"Appendices 3 p.52; 13 p.63; 14 p.64","Same definition."
Sumatera Selatan,20.18,79.82,0.40,2.87,96.24,43.32,11.98,60385,7.21,2024,direct_official_statistical_table,"Appendices 3 p.52; 13 p.63; 14 p.64","Same definition."
Bengkulu,19.29,80.71,2.53,2.07,94.87,40.78,14.65,71699,8.44,2024,direct_official_statistical_table,"Appendices 3 p.52; 13 p.63; 14 p.64","Same definition."
Lampung,20.87,79.13,1.32,2.62,96.08,42.23,11.39,117382,8.63,2024,direct_official_statistical_table,"Appendices 3 p.52; 13 p.63; 14 p.64","Same definition."
Kep. Bangka Belitung,14.31,85.69,1.14,1.07,99.07,40.20,6.52,42575,5.47,2024,direct_official_statistical_table,"Appendices 3 p.52; 13 p.63; 14 p.64","Same definition."
Kepulauan Riau,20.22,79.78,1.82,3.19,96.24,41.84,15.80,53829,7.27,2024,direct_official_statistical_table,"Appendices 3 p.52; 13 p.63; 14 p.64","Same definition."
DKI Jakarta,19.15,80.85,1.46,5.40,83.54,15.29,41.40,462782,4.32,2024,direct_official_statistical_table,"Appendices 3 p.52; 13 p.63; 14 p.64","Same definition."
Jawa Barat,16.26,83.74,0.95,2.07,96.59,24.14,16.32,709851,3.75,2024,direct_official_statistical_table,"Appendices 3 p.52; 13 p.63; 14 p.64","Same definition."
Jawa Tengah,14.27,85.73,0.67,0.16,95.86,20.72,11.62,625695,4.94,2024,direct_official_statistical_table,"Appendices 3 p.52; 13 p.63; 14 p.64","Same definition."
D.I. Yogyakarta,11.01,88.99,1.94,1.42,95.16,19.88,20.02,269398,5.21,2024,direct_official_statistical_table,"Appendices 3 p.52; 13 p.63; 14 p.64","Same definition."
Jawa Timur,15.57,84.43,0.93,2.99,97.89,25.82,12.89,690542,4.19,2024,direct_official_statistical_table,"Appendices 3 p.52; 13 p.63; 14 p.64","Same definition."
Banten,26.74,73.26,0.98,3.30,93.29,25.68,22.58,158639,4.34,2024,direct_official_statistical_table,"Appendices 3 p.52; 13 p.63; 14 p.64","Same definition."
Bali,31.38,68.62,9.84,16.33,93.27,35.77,28.66,134990,6.90,2024,direct_official_statistical_table,"Appendices 3 p.52; 13 p.63; 14 p.64","Same definition."
Nusa Tenggara Barat,16.36,83.64,1.55,2.84,97.11,53.19,9.29,49256,5.59,2024,direct_official_statistical_table,"Appendices 3 p.52; 13 p.63; 14 p.64","Same definition."
Nusa Tenggara Timur,22.87,77.13,1.94,3.48,86.92,61.92,17.50,23239,3.65,2024,direct_official_statistical_table,"Appendices 3 p.52; 13 p.63; 14 p.64","Same definition."
Kalimantan Barat,20.93,79.07,0.56,1.73,95.17,41.10,11.59,40379,5.73,2024,direct_official_statistical_table,"Appendices 3 p.52; 13 p.63; 14 p.64","Same definition."
Kalimantan Tengah,13.48,86.52,0.80,1.80,96.74,39.23,10.07,30937,5.99,2024,direct_official_statistical_table,"Appendices 3 p.52; 13 p.63; 14 p.64","Same definition."
