reference_year,indicator,value,unit,geography,question_basis,source_status,source_url,source_locator,interpretation_limit
2020,ecommerce_businesses_with_financial_reports,23.45,percent,Indonesia,all surveyed e-commerce businesses,direct_official_statistical_table,https://www.bps.go.id/id/publication/2022/12/19/d215899e13b89e516caa7a44/statistik-e-commerce-2022.html,Table 8 p.44,Financial-report ownership is not tax filing or audited-report quality.
2021,ecommerce_businesses_with_financial_reports,22.06,percent,Indonesia,all surveyed e-commerce businesses,direct_official_statistical_table,https://www.bps.go.id/id/publication/2022/12/19/d215899e13b89e516caa7a44/statistik-e-commerce-2022.html,Table 8 p.44,Financial-report ownership is not tax filing or audited-report quality.
2022,estimated_number_of_ecommerce_businesses,2995986,businesses,Indonesia,official survey estimate,direct_official_statistical_estimate,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Executive summary pp.5-6,Estimate is survey-based and is not a platform-user count.
2023,estimated_number_of_ecommerce_businesses,3816750,businesses,Indonesia,official survey estimate,direct_official_statistical_estimate,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Executive summary pp.5-6,Estimate is survey-based and is not a platform-user count.
2023,ecommerce_businesses_with_financial_reports,15.19,percent,Indonesia,all surveyed e-commerce businesses,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Figure 7 p.10 and Appendix 6 p.62,Not directly comparable with marketplace-only subgroup percentages.
2023,ecommerce_businesses_without_financial_reports,84.81,percent,Indonesia,all surveyed e-commerce businesses,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Figure 7 p.10 and Appendix 6 p.62,Financial-report absence is not proof of noncompliance.
2022,ecommerce_transaction_value,783.00,IDR_trillion,Indonesia,online sales revenue through marketplace and non-marketplace media,direct_official_statistical_estimate,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Figure 23 p.39,Definition differs from issuer GMV/TPV and must not be pooled with platform accounts.
2023,ecommerce_transaction_value,1100.87,IDR_trillion,Indonesia,online sales revenue through marketplace and non-marketplace media,direct_official_statistical_estimate,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Figure 23 p.39,Definition differs from issuer GMV/TPV and must not be pooled with platform accounts.
2023,marketplace_transaction_value,200.68,IDR_trillion,Indonesia,exclusive marketplace/platform digital revenue decomposition,direct_official_statistical_estimate,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Figure 23 p.39,18.23 percent of the exclusive marketplace/non-marketplace decomposition.
2023,nonmarketplace_transaction_value,900.19,IDR_trillion,Indonesia,exclusive marketplace/platform digital revenue decomposition,direct_official_statistical_estimate,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Figure 23 p.39,Includes other internet-connected sales channels; not necessarily unrecorded.
