issuer,from_year,to_year,transaction_growth_pct,revenue_growth_pct,revenue_minus_transaction_growth_pp,growth_quadrant,clean_scope_transition,scope_note,interpretation
Etsy,2019,2020,106.65762267876784,110.85890522606272,4.2012825472948805,activity_up_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Etsy,2020,2021,31.229408212213826,34.97219847881203,3.742790266598206,activity_up_revenue_up,no,Depop and Elo7 entered consolidated results from their July 2021 acquisition dates.,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Etsy,2021,2022,-1.2854596130339013,10.175414342106048,11.460873955139949,activity_down_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Etsy,2022,2023,-1.1803223150895992,7.102810439610763,8.283132754700361,activity_down_revenue_up,no,Elo7 included only through its 10 August 2023 sale date.,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Etsy,2023,2024,-4.363159700683738,2.181469281688786,6.544628982372524,activity_down_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Etsy,2024,2025,-5.323385677485703,2.676642220364278,8.000027897849982,activity_down_revenue_up,no,Reverb was sold on 30 April 2025 and contributes only through the sale date.,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Jumia,2021,2022,5.754088431253779,24.699045713579192,18.94495728232541,activity_up_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Jumia,2022,2023,-28.42688048873616,-15.99048142706484,12.43639906167132,activity_down_revenue_down,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Jumia,2023,2024,-3.8943718324886523,-10.14795978583921,-6.253587953350559,activity_down_revenue_down,no,Exit from South Africa and Tunisia; issuer also supplies a perimeter-adjusted GMV series.,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Jumia,2024,2025,13.59977796280878,12.785546254612346,-0.8142317081964343,activity_up_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Mercado Libre,2021,2022,21.126760563380277,25.307443365695793,4.180682802315516,activity_up_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Mercado Libre,2022,2023,30.08430232558139,41.20179063360882,11.117488308027433,activity_up_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Mercado Libre,2023,2024,15.01262598046884,48.262407023533704,33.249781043064864,activity_up_revenue_up,no,Commerce revenue increased partly because more shipping services were reported as principal rather than agent.,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Mercado Libre,2024,2025,26.366409543979643,34.00773089892262,7.641321354942974,activity_up_revenue_up,no,Food delivery enters GMV from Q2 2025; principal/agent shipping mix also changed.,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Rakuten,2023,2024,-1.5478877781360811,3.7553648068669565,5.303252585003038,activity_down_revenue_up,no,FY2025 deck retrospectively realigns businesses and revises Domestic EC GMS scope.,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Rakuten,2024,2025,3.914182771044872,5.791106514994837,1.8769237439499653,activity_up_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Sea / Shopee,2017,2018,149.92827445354862,2884.0380783705996,2734.109803917051,activity_up_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Sea / Shopee,2018,2019,70.98635121068557,209.48185682807946,138.4955056173939,activity_up_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Sea / Shopee,2019,2020,101.40872315972733,159.75811913052337,58.34939597079604,activity_up_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Sea / Shopee,2020,2021,76.8361581920904,136.39163712324347,59.555478931153075,activity_up_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Sea / Shopee,2021,2022,17.41214057507987,42.49577246275054,25.083631887670666,activity_up_revenue_up,no,The reported e-commerce revenue perimeter and monetization mix evolve over time.,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Sea / Shopee,2022,2023,6.802721088435382,23.28767123287672,16.484950144441335,activity_up_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Sea / Shopee,2023,2024,28.025477707006363,37.77777777777778,9.752300070771415,activity_up_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Sea / Shopee,2024,2025,26.766169154228848,33.87096774193547,7.104798587706625,activity_up_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
