input_id,platform,period,geography,measure,value,unit,input_status,source_file,source_locator,source_url,scope_note
grab_idn_revenue,Grab,FY2023,Indonesia,revenue,605,USD_million,direct_country,01_RAW_SOURCES/main_indonesia/grab_2023_20f.htm,"FY2023 20-F, country revenue paragraph; HTML line 1002",https://d18rn0p25nwr6d.cloudfront.net/CIK-0001855612/7ff7f1b3-154a-4ef1-ae22-f0ca26492db0.pdf,"All Grab revenue attributed to Indonesia; not a segment-only line."
grab_group_revenue,Grab,FY2023,Group,revenue,2359,USD_million,direct_company,01_RAW_SOURCES/main_indonesia/grab_2023_20f.htm,"FY2023 20-F, business overview; HTML line 1263",https://d18rn0p25nwr6d.cloudfront.net/CIK-0001855612/7ff7f1b3-154a-4ef1-ae22-f0ca26492db0.pdf,"Group total revenue used only to calculate the disclosed-group proxy rate."
grab_group_gmv,Grab,FY2023,Group,GMV,20983,USD_million,direct_company,01_RAW_SOURCES/main_indonesia/grab_2023_results.htm,"FY2023 results operating-metrics table; HTML lines 282-285",https://investors.grab.com/news-and-events/news-details/2024/Grab-Reports-Fourth-Quarter-and-Full-Year-2023-Results-and-Announces-Inaugural-Share-Repurchase-Program-of-Up-to-500-Million/default.aspx,"Original FY2023 total-GMV reporting basis; includes financial-services activity."
goto_ecom_gtv,Tokopedia_ecommerce_segment,FY2023,Indonesia_aligned_segment,ecommerce_GTV,248836156,IDR_million,direct_business_segment,01_RAW_SOURCES/main_indonesia/goto_annual_report_2023.pdf,"FY2023 annual report, e-commerce operating-metrics discussion; financial-statement page 5/111",https://content.goinfra.co.id/asts/InvestorRelation/AnnualReport/GOTO_Laporan%20Tahunan_2023.pdf,"Reported e-commerce segment GTV; GoTo does not label it as an Indonesia geographic line."
goto_ecom_net_revenue,Tokopedia_ecommerce_segment,FY2023,Indonesia_aligned_segment,ecommerce_net_revenue,6175190,IDR_million,direct_business_segment,01_RAW_SOURCES/main_indonesia/goto_annual_report_2023.pdf,"Note 29 Segment Operations, third-party net segment revenues; pdftotext line 30661",https://content.goinfra.co.id/asts/InvestorRelation/AnnualReport/GOTO_Laporan%20Tahunan_2023.pdf,"Net segment revenue, not e-commerce gross revenue."
idr_usd_fx,FX,FY2023,Indonesia,official_exchange_rate,15236.884662,IDR_per_USD,direct_external,01_RAW_SOURCES/main_indonesia/world_bank_idn_official_exchange_rate_2023.json,"World Bank API indicator PA.NUS.FCRF, Indonesia 2023",https://api.worldbank.org/v2/country/IDN/indicator/PA.NUS.FCRF?date=2023&format=json,"Used only to convert GoTo's reported IDR values to USD for the FY2023 cross-platform display."
shopee_market_total,Shopee,FY2023,Indonesia,ecommerce_market_GMV,53.8,USD_billion,direct_external,01_RAW_SOURCES/main_indonesia/katadata_momentumworks_indonesia_2023.htm,"Embedded article data at HTML line 169; 2023 Indonesia e-commerce GMV",https://databoks.katadata.co.id/en/technology-telecommunications/statistics/678272b342544/no-bukalapak-here-are-5-indonesian-e-commerce-sites-with-the-highest-gmv,"External market estimate attributed in the article to Momentum Works."
shopee_market_share,Shopee,FY2023,Indonesia,ecommerce_market_share,0.40,share,direct_external,01_RAW_SOURCES/main_indonesia/katadata_momentumworks_indonesia_2023.htm,"Embedded article data at HTML line 169; Shopee 40% share",https://databoks.katadata.co.id/en/technology-telecommunications/statistics/678272b342544/no-bukalapak-here-are-5-indonesian-e-commerce-sites-with-the-highest-gmv,"External country-market estimate, not Sea geographic disclosure."
sea_group_gmv,Sea_Shopee,FY2023,Group,ecommerce_GMV,78.5,USD_billion,direct_company,01_RAW_SOURCES/main_indonesia/sea_2023_20f.htm,"FY2023 20-F, Shopee marketplace description; HTML line 7612",https://www.annualreports.com/HostedData/AnnualReportArchive/s/NYSE_SE_2023.pdf,"Company-wide Shopee GMV; cross-check for the disclosed rate."
sea_service_revenue,Sea_Shopee,FY2023,Group,ecommerce_service_revenue,7.9,USD_billion,direct_company,01_RAW_SOURCES/main_indonesia/sea_2023_20f.htm,"FY2023 20-F, e-commerce discussion; HTML lines 17584-17585",https://www.annualreports.com/HostedData/AnnualReportArchive/s/NYSE_SE_2023.pdf,"Company-wide e-commerce service revenue; rounded headline value."
sea_disclosed_rate,Sea_Shopee,FY2023,Group,ecommerce_service_revenue_over_GMV,0.10,share,direct_company,01_RAW_SOURCES/main_indonesia/sea_2023_20f.htm,"FY2023 20-F, e-commerce discussion; HTML lines 17584-17585",https://www.annualreports.com/HostedData/AnnualReportArchive/s/NYSE_SE_2023.pdf,"Sea explicitly states that e-commerce service revenue over GMV improved to 10.0%; use this stated rate rather than re-dividing rounded headline values."
