firm,fiscal_quarter,period_end,gmv_usd_m,gmv_usd_m_source,revenue_usd_m,revenue_usd_m_source,net_income_usd_m,net_income_usd_m_source,total_assets_usd_m,total_assets_usd_m_source,cash_and_equivalents_usd_m,cash_and_equivalents_usd_m_source,total_debt_usd_m,total_debt_usd_m_source,shares_outstanding_m,shares_outstanding_m_source,reporting_currency,fx_rate_to_usd
GOTO,2022Q3,,,"Total Group GTV, Rp161T (no in-release USD unless noted). Pre-Tokopedia-deconsolidation basis Source: https://www.gotocompany.com/en/news/press/goto-reports-third-quarter-financial-results, accessed 2026-08-06.",,"gross Rp5.9T Pre-Tokopedia-deconsolidation basis Source: https://www.gotocompany.com/en/news/press/goto-reports-third-quarter-financial-results, accessed 2026-08-06.",,,,,,,,,,,IDR,
GOTO,2022Q4,,,"Total Group GTV, Rp162T (no in-release USD unless noted). Pre-Tokopedia-deconsolidation basis. FY22 GTV Rp613T also disclosed. Source: https://www.gotocompany.com/en/news/press/goto-announces-fourth-straight-quarter-of-improving-adjusted-ebitda-as-it-reports-indicative-2022-fy-and-q4-results, accessed 2026-08-06.",,"gross Rp6.3T Pre-Tokopedia-deconsolidation basis. FY22 GTV Rp613T also disclosed. Source: https://www.gotocompany.com/en/news/press/goto-announces-fourth-straight-quarter-of-improving-adjusted-ebitda-as-it-reports-indicative-2022-fy-and-q4-results, accessed 2026-08-06.",,,,,,,,,,,IDR,
GOTO,2023Q3,,,"Total Group GTV, Rp151.3T (no in-release USD unless noted). Pre-Tokopedia-deconsolidation basis Source: https://www.gotocompany.com/en/news/press/goto-group-moves-towards-growth-and-improves-profitability-as-company-reports-2023-third-quarter-results, accessed 2026-08-06.",,"gross Rp6.0T; net Rp3.6T Pre-Tokopedia-deconsolidation basis Source: https://www.gotocompany.com/en/news/press/goto-group-moves-towards-growth-and-improves-profitability-as-company-reports-2023-third-quarter-results, accessed 2026-08-06.",,,,,,,,,,,IDR,
GOTO,2023Q4,,,"Total Group GTV, Rp163.0T (no in-release USD unless noted). LAST quarter on pre-deconsolidation basis; major concurrent M&A Source: https://www.gotocompany.com/en/news/press/goto-group-turns-adjusted-ebitda-positive-surpassing-full-year-guidance-as-company-reports-2023-fourth-quarter-and-full-year-results, accessed 2026-08-06.",,"gross Rp6.5T; net Rp4.3T LAST quarter on pre-deconsolidation basis; major concurrent M&A Source: https://www.gotocompany.com/en/news/press/goto-group-turns-adjusted-ebitda-positive-surpassing-full-year-guidance-as-company-reports-2023-fourth-quarter-and-full-year-results, accessed 2026-08-06.",,,,,,,,,,,IDR,
GOTO,2024FY,,,PENDING -- IDX annual report / quarterly press release,,PENDING,,PENDING,,PENDING,,PENDING,,PENDING,,PENDING,IDR,
GOTO,2024Q1,,,"Total Group GTV, Rp116.5T (no in-release USD unless noted). FIRST quarter on post-deconsolidation basis -- not comparable to 2022-2023 rows above Source: https://www.gotocompany.com/en/news/press/goto-group-reports-strong-group-gtv-and-revenue-growth-as-company-announces-2024-first-quarter-results, accessed 2026-08-06.",,"gross Rp4.2T; net Rp3.1T FIRST quarter on post-deconsolidation basis -- not comparable to 2022-2023 rows above Source: https://www.gotocompany.com/en/news/press/goto-group-reports-strong-group-gtv-and-revenue-growth-as-company-announces-2024-first-quarter-results, accessed 2026-08-06.",,,,,,,,,,,IDR,
GOTO,2024Q4,,,"Total Group GTV, Rp144.5T (no in-release USD unless noted). Post-deconsolidation basis Source: https://www.gotocompany.com/en/news/press/goto-group-beats-guidance-with-record-results-as-it-reports-2024-fourth-quarter-and-full-year-earnings, accessed 2026-08-06.",,"gross Rp5.0T; net Rp4.2T Post-deconsolidation basis Source: https://www.gotocompany.com/en/news/press/goto-group-beats-guidance-with-record-results-as-it-reports-2024-fourth-quarter-and-full-year-earnings, accessed 2026-08-06.",,,,,,,,,,,IDR,
GOTO,2025FY,,,PENDING -- IDX annual report / quarterly press release,,PENDING,,PENDING,,PENDING,,PENDING,,PENDING,,PENDING,IDR,
GOTO,2025Q1,,,"Total Group GTV, Rp144.6T (no in-release USD unless noted). Post-deconsolidation basis. Group Core GTV Rp83.2T also disclosed separately. Source: https://www.gotocompany.com/en/news/press/goto-group-achieves-record-profitability-and-strong-growth-as-it-reports-2025-first-quarter-earnings, accessed 2026-08-06.",,"net Rp4.2T Post-deconsolidation basis. Group Core GTV Rp83.2T also disclosed separately. Source: https://www.gotocompany.com/en/news/press/goto-group-achieves-record-profitability-and-strong-growth-as-it-reports-2025-first-quarter-earnings, accessed 2026-08-06.",,,,,,,,,,,IDR,
GOTO,2025Q2,,,"Total Group GTV, Rp152.9T (no in-release USD unless noted). Post-deconsolidation basis Source: https://www.gotocompany.com/en/news/press/goto-group-achieves-record-breaking-performance-as-it-reports-2025-second-quarter-earnings, accessed 2026-08-06.",,"net Rp4.3T Post-deconsolidation basis Source: https://www.gotocompany.com/en/news/press/goto-group-achieves-record-breaking-performance-as-it-reports-2025-second-quarter-earnings, accessed 2026-08-06.",,,,,,,,,,,IDR,
