firm,fiscal_year,period_end,segment,gmv_usd_m,revenue_usd_m,currency,source
GRAB,FY2019,2019-12-31,Overall,12251,-845,USD,"Grab Holdings 20-F for FY2021 (filed 2022-04-28, accession 0001193125-22-125634), MD&A Key Operating Metrics and Revenue by segment tables. https://www.sec.gov/Archives/edgar/data/1855612/000119312522125634/d170219d20f.htm, pulled 2026-08-24. Total revenue matches the earlier LSEG/RDP terminal pull exactly (-845M), cross-validated."
GRAB,FY2019,2019-12-31,Deliveries,2947,-638,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24."
GRAB,FY2019,2019-12-31,Mobility,5715,9,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24."
GRAB,FY2019,2019-12-31,Financial Services,3579,-229,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24."
GRAB,FY2019,2019-12-31,Enterprise and New Initiatives,9,13,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24."
GRAB,FY2020,2020-12-31,Overall,12492,469,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24. Total revenue matches the earlier LSEG/RDP terminal pull exactly (469M), cross-validated."
GRAB,FY2020,2020-12-31,Deliveries,5468,5,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24."
GRAB,FY2020,2020-12-31,Mobility,3232,438,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24."
GRAB,FY2020,2020-12-31,Financial Services,3748,-10,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24."
GRAB,FY2020,2020-12-31,Enterprise and New Initiatives,44,36,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24."
GRAB,FY2021,2021-12-31,Overall,16061,675,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24. FY2021 total was never returned by the LSEG/RDP terminal pull -- new data point."
GRAB,FY2021,2021-12-31,Deliveries,8530,148,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24."
GRAB,FY2021,2021-12-31,Mobility,2787,456,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24."
GRAB,FY2021,2021-12-31,Financial Services,4591,27,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24."
GRAB,FY2021,2021-12-31,Enterprise and New Initiatives,153,44,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24."
