firm,fiscal_year,period_end,country_or_region,revenue_usd_m,currency,source,note
GRAB,FY2019,2019-12-31,Singapore,-30,USD,"Grab Holdings 20-F for FY2021 (filed 2022-04-28), MD&A Revenue by geographical locations table and financial statements Note 19(ii). https://www.sec.gov/Archives/edgar/data/1855612/000119312522125634/d170219d20f.htm, pulled 2026-08-24.",""
GRAB,FY2019,2019-12-31,Malaysia,92,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24.",""
GRAB,FY2019,2019-12-31,Philippines,39,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24.",""
GRAB,FY2019,2019-12-31,Thailand,-19,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24.",""
GRAB,FY2019,2019-12-31,Rest of Southeast Asia,-927,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24.","INDONESIA IS NOT BROKEN OUT SEPARATELY -- Grab's 20-F bundles Indonesia together with Vietnam, Myanmar, and Cambodia into this single 'Rest of Southeast Asia' line. No Indonesia-specific revenue figure exists in this filing. This is the definitive answer to the bonus ask for an Indonesia-specific breakdown: not available from Grab's own disclosures."
GRAB,FY2020,2020-12-31,Singapore,246,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24.",""
GRAB,FY2020,2020-12-31,Malaysia,91,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24.",""
GRAB,FY2020,2020-12-31,Philippines,51,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24.",""
GRAB,FY2020,2020-12-31,Thailand,57,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24.",""
GRAB,FY2020,2020-12-31,Rest of Southeast Asia,24,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24.","Includes Indonesia -- see FY2019 note."
GRAB,FY2021,2021-12-31,Singapore,283,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24.",""
GRAB,FY2021,2021-12-31,Malaysia,108,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24.",""
GRAB,FY2021,2021-12-31,Philippines,81,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24.",""
GRAB,FY2021,2021-12-31,Thailand,76,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24.",""
GRAB,FY2021,2021-12-31,Rest of Southeast Asia,127,USD,"Grab Holdings 20-F for FY2021, same source as above, pulled 2026-08-24.","Includes Indonesia -- see FY2019 note."
