firm,fiscal_quarter,period_end,gmv_usd_m,revenue_usd_m,currency,source
SEA,2017Q1,2017-03-31,648.3,,USD,"Sea Limited 20-F for FY2018 (filed 2019-03-01, accession 0001144204-19-011639), Key Operating Metrics table, E-commerce GMV. https://www.sec.gov/Archives/edgar/data/1703399/000114420419011639/tv512574_20f.htm, pulled 2026-08-24. GMV is Shopee-specific per the filing's own glossary definition."
SEA,2017Q2,2017-06-30,821.2,,USD,"Sea Limited 20-F for FY2018, same table/source as above, pulled 2026-08-24."
SEA,2017Q3,2017-09-30,1064.8,,USD,"Sea Limited 20-F for FY2018, same table/source as above, pulled 2026-08-24."
SEA,2017Q4,2017-12-31,1578.6,,USD,"Sea Limited 20-F for FY2018, same table/source as above, pulled 2026-08-24."
SEA,2018Q1,2018-03-31,1941.4,,USD,"Sea Limited 20-F for FY2018, same table/source as above, pulled 2026-08-24. Cross-confirmed against FY2019 20-F comparative table (identical figure)."
SEA,2018Q2,2018-06-30,2221.8,,USD,"Sea Limited 20-F for FY2018, same table/source as above, pulled 2026-08-24. Cross-confirmed against FY2019 20-F comparative table (identical figure)."
SEA,2018Q3,2018-09-30,2690.9,,USD,"Sea Limited 20-F for FY2018, same table/source as above, pulled 2026-08-24. Cross-confirmed against FY2019 20-F comparative table (identical figure)."
SEA,2018Q4,2018-12-31,3425.2,,USD,"Sea Limited 20-F for FY2018, same table/source as above, pulled 2026-08-24. Cross-confirmed against FY2019 20-F comparative table (identical figure)."
SEA,2019Q1,2019-03-31,3529.3,,USD,"Sea Limited 20-F for FY2019 (filed 2020-04-14, accession 0001140361-20-008832), Key Operating Metrics table, E-commerce GMV. https://www.sec.gov/Archives/edgar/data/1703399/000114036120008832/form20f.htm, pulled 2026-08-24."
SEA,2019Q2,2019-06-30,3827.8,,USD,"Sea Limited 20-F for FY2019, same table/source as above, pulled 2026-08-24."
SEA,2019Q3,2019-09-30,4573.2,,USD,"Sea Limited 20-F for FY2019, same table/source as above, pulled 2026-08-24."
SEA,2019Q4,2019-12-31,5645.9,,USD,"Sea Limited 20-F for FY2019, same table/source as above, pulled 2026-08-24."
SEA,2020Q1,2020-03-31,6200,,USD,"Sea Limited 20-F for FY2020 (filed 2021-04-16, accession 0001140361-21-013089), Key Operating Metrics table, GMV. https://www.sec.gov/Archives/edgar/data/1703399/000114036121013089/brhc10022673_20f.htm, pulled 2026-08-24. NOTE: reported in US$ billions to 1 decimal place in this filing (precision drops vs. 2017-2019 figures, which were reported to $0.1M)."
SEA,2020Q2,2020-06-30,8000,,USD,"Sea Limited 20-F for FY2020, same table/source as above, pulled 2026-08-24. Same precision caveat (billions, 1 decimal)."
SEA,2020Q3,2020-09-30,9300,,USD,"Sea Limited 20-F for FY2020, same table/source as above, pulled 2026-08-24. Same precision caveat."
SEA,2020Q4,2020-12-31,11900,,USD,"Sea Limited 20-F for FY2020, same table/source as above, pulled 2026-08-24. Same precision caveat."
SEA,2021Q1,2021-03-31,12600,,USD,"Sea Limited 20-F for FY2021 (filed 2022-04-22, accession 0001140361-22-015578), Key Operating Metrics table, GMV. https://www.sec.gov/Archives/edgar/data/1703399/000114036122015578/brhc10036000_20f.htm, pulled 2026-08-24. Same precision caveat (billions, 1 decimal)."
SEA,2021Q2,2021-06-30,15000,,USD,"Sea Limited 20-F for FY2021, same table/source as above, pulled 2026-08-24. Same precision caveat."
SEA,2021Q3,2021-09-30,16800,,USD,"Sea Limited 20-F for FY2021, same table/source as above, pulled 2026-08-24. Same precision caveat."
SEA,2021Q4,2021-12-31,18200,,USD,"Sea Limited 20-F for FY2021, same table/source as above, pulled 2026-08-24. Same precision caveat."
