platform,period,scope,unit,source_file,source_url,pdf_page,status,tpv,tpv_source_line,revenue,revenue_source_line,gpbd,gpbd_source_line
Blibli/GDN,2023Q2,1P Retail,IDR billion,broad_archive/raw/blibli/7c90ca67ef64_Earnings-Release-1H23-PT-Global-Digital-Niaga-Tbk.pdf.pdf,https://asset-about.blibli.com/2023/07/Earnings-Release-1H23-PT-Global-Digital-Niaga-Tbk.pdf,2,reported table extraction; geographic eligibility and visual cell review pending,2098.0,"-    1P Retail                                          2,098                2,484              (16)               4,497                4,612                  (3)",1834.0,"-    1P Retail                                          1,834                 2,250             (19)               3,927                4,159               (6)",118.0,-    1P Retail                                           118                    78                51               283                   184                54
Blibli/GDN,2023Q2,3P Retail,IDR billion,broad_archive/raw/blibli/7c90ca67ef64_Earnings-Release-1H23-PT-Global-Digital-Niaga-Tbk.pdf.pdf,https://asset-about.blibli.com/2023/07/Earnings-Release-1H23-PT-Global-Digital-Niaga-Tbk.pdf,2,reported table extraction; geographic eligibility and visual cell review pending,12490.0,"-    3P Retail                                         12,490                8,596                45              25,806               14,229                  81",292.0,-    3P Retail                                            292                    30             873                  567                   70              710,490.0,-    3P Retail                                           490                  301                 63               957                   529                81
Blibli/GDN,2023Q2,Institutions,IDR billion,broad_archive/raw/blibli/7c90ca67ef64_Earnings-Release-1H23-PT-Global-Digital-Niaga-Tbk.pdf.pdf,https://asset-about.blibli.com/2023/07/Earnings-Release-1H23-PT-Global-Digital-Niaga-Tbk.pdf,2,reported table extraction; geographic eligibility and visual cell review pending,3074.0,"-    Institutions                                       3,074                2,000                54               4,148                3,354                  24",760.0,"-    Institutions                                         760                   360             111                1,221                  730               67",60.0,-    Institutions                                          60                   21               191                 84                    34              147
Blibli/GDN,2023Q2,Physical Stores,IDR billion,broad_archive/raw/blibli/7c90ca67ef64_Earnings-Release-1H23-PT-Global-Digital-Niaga-Tbk.pdf.pdf,https://asset-about.blibli.com/2023/07/Earnings-Release-1H23-PT-Global-Digital-Niaga-Tbk.pdf,2,reported table extraction; geographic eligibility and visual cell review pending,1202.0,"-    Physical Stores                                    1,202                1,012                19               2,328                1,950                  19",1060.0,"-    Physical Stores                                    1,060                   904               17               2,061                1,753               18",233.0,-    Physical Stores                                     233                  185                 26               448                   370                21
Blibli/GDN,2023Q2,Group,IDR billion,broad_archive/raw/blibli/7c90ca67ef64_Earnings-Release-1H23-PT-Global-Digital-Niaga-Tbk.pdf.pdf,https://asset-about.blibli.com/2023/07/Earnings-Release-1H23-PT-Global-Digital-Niaga-Tbk.pdf,2,reported table extraction; geographic eligibility and visual cell review pending,18864.0,"Total TPV                                              18,864               14,092                34              36,779               24,145                  52",3946.0,"Total Net Revenues                                       3,946                 3,544               11               7,776                6,712               16",901.0,"Total GPBD                                                901                  584                 54             1,772                 1,117                59"
Blibli/GDN,2022Q2,1P Retail,IDR billion,broad_archive/raw/blibli/7c90ca67ef64_Earnings-Release-1H23-PT-Global-Digital-Niaga-Tbk.pdf.pdf,https://asset-about.blibli.com/2023/07/Earnings-Release-1H23-PT-Global-Digital-Niaga-Tbk.pdf,2,reported table extraction; geographic eligibility and visual cell review pending,2484.0,"-    1P Retail                                          2,098                2,484              (16)               4,497                4,612                  (3)",2250.0,"-    1P Retail                                          1,834                 2,250             (19)               3,927                4,159               (6)",78.0,-    1P Retail                                           118                    78                51               283                   184                54
Blibli/GDN,2022Q2,3P Retail,IDR billion,broad_archive/raw/blibli/7c90ca67ef64_Earnings-Release-1H23-PT-Global-Digital-Niaga-Tbk.pdf.pdf,https://asset-about.blibli.com/2023/07/Earnings-Release-1H23-PT-Global-Digital-Niaga-Tbk.pdf,2,reported table extraction; geographic eligibility and visual cell review pending,8596.0,"-    3P Retail                                         12,490                8,596                45              25,806               14,229                  81",30.0,-    3P Retail                                            292                    30             873                  567                   70              710,301.0,-    3P Retail                                           490                  301                 63               957                   529                81
Blibli/GDN,2022Q2,Institutions,IDR billion,broad_archive/raw/blibli/7c90ca67ef64_Earnings-Release-1H23-PT-Global-Digital-Niaga-Tbk.pdf.pdf,https://asset-about.blibli.com/2023/07/Earnings-Release-1H23-PT-Global-Digital-Niaga-Tbk.pdf,2,reported table extraction; geographic eligibility and visual cell review pending,2000.0,"-    Institutions                                       3,074                2,000                54               4,148                3,354                  24",360.0,"-    Institutions                                         760                   360             111                1,221                  730               67",21.0,-    Institutions                                          60                   21               191                 84                    34              147
Blibli/GDN,2022Q2,Physical Stores,IDR billion,broad_archive/raw/blibli/7c90ca67ef64_Earnings-Release-1H23-PT-Global-Digital-Niaga-Tbk.pdf.pdf,https://asset-about.blibli.com/2023/07/Earnings-Release-1H23-PT-Global-Digital-Niaga-Tbk.pdf,2,reported table extraction; geographic eligibility and visual cell review pending,1012.0,"-    Physical Stores                                    1,202                1,012                19               2,328                1,950                  19",904.0,"-    Physical Stores                                    1,060                   904               17               2,061                1,753               18",185.0,-    Physical Stores                                     233                  185                 26               448                   370                21
Blibli/GDN,2022Q2,Group,IDR billion,broad_archive/raw/blibli/7c90ca67ef64_Earnings-Release-1H23-PT-Global-Digital-Niaga-Tbk.pdf.pdf,https://asset-about.blibli.com/2023/07/Earnings-Release-1H23-PT-Global-Digital-Niaga-Tbk.pdf,2,reported table extraction; geographic eligibility and visual cell review pending,14092.0,"Total TPV                                              18,864               14,092                34              36,779               24,145                  52",3544.0,"Total Net Revenues                                       3,946                 3,544               11               7,776                6,712               16",584.0,"Total GPBD                                                901                  584                 54             1,772                 1,117                59"
