platform,period,frequency,scope,currency_unit,source_id,source_url,source_file,source_page,status,tpv,net_revenue,gpbd,source_column,definition_note
Blibli/GDN,FY2022,annual,1P Retail,IDR billion,blibli_q12023_verified,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,sources/core_public_documents/blibli_q12023_verified.pdf,2,reported_comparative,9940,8902,366,FY22,"Annual comparative; overlaps FY2022 release."
Blibli/GDN,FY2022,annual,3P Retail,IDR billion,blibli_q12023_verified,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,sources/core_public_documents/blibli_q12023_verified.pdf,2,reported_comparative,37050,199,1314,FY22,"3P includes e-commerce and online travel agent platforms."
Blibli/GDN,FY2022,annual,Institutions,IDR billion,blibli_q12023_verified,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,sources/core_public_documents/blibli_q12023_verified.pdf,2,reported_comparative,10433,2615,130,FY22,"Annual comparative; overlaps FY2022 release."
Blibli/GDN,FY2022,annual,Physical Stores,IDR billion,blibli_q12023_verified,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,sources/core_public_documents/blibli_q12023_verified.pdf,2,reported_comparative,3973,3553,772,FY22,"Annual comparative; overlaps FY2022 release."
Blibli/GDN,FY2022,annual,Group,IDR billion,blibli_q12023_verified,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,sources/core_public_documents/blibli_q12023_verified.pdf,2,reported_comparative,61396,15269,2582,FY22,"Annual total; do not add to segments as another independent observation."
Blibli/GDN,2023Q1,quarter,1P Retail,IDR billion,blibli_q12023_verified,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,sources/core_public_documents/blibli_q12023_verified.pdf,2,reported,2399,2094,165,1Q23,"Quarterly flow."
Blibli/GDN,2023Q1,quarter,3P Retail,IDR billion,blibli_q12023_verified,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,sources/core_public_documents/blibli_q12023_verified.pdf,2,reported,13316,275,468,1Q23,"3P includes e-commerce and online travel agent platforms."
Blibli/GDN,2023Q1,quarter,Institutions,IDR billion,blibli_q12023_verified,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,sources/core_public_documents/blibli_q12023_verified.pdf,2,reported,1074,461,24,1Q23,"Quarterly flow."
Blibli/GDN,2023Q1,quarter,Physical Stores,IDR billion,blibli_q12023_verified,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,sources/core_public_documents/blibli_q12023_verified.pdf,2,reported,1126,1000,214,1Q23,"Quarterly flow."
Blibli/GDN,2023Q1,quarter,Group,IDR billion,blibli_q12023_verified,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,sources/core_public_documents/blibli_q12023_verified.pdf,2,reported,17915,3830,871,1Q23,"Quarterly total; do not add to segments as another independent observation."
Blibli/GDN,2022Q1,quarter,1P Retail,IDR billion,blibli_q12023_verified,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,sources/core_public_documents/blibli_q12023_verified.pdf,2,reported_comparative,2129,1909,106,1Q22,"Quarterly comparative."
Blibli/GDN,2022Q1,quarter,3P Retail,IDR billion,blibli_q12023_verified,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,sources/core_public_documents/blibli_q12023_verified.pdf,2,reported_comparative,5632,40,228,1Q22,"3P includes e-commerce and online travel agent platforms."
Blibli/GDN,2022Q1,quarter,Institutions,IDR billion,blibli_q12023_verified,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,sources/core_public_documents/blibli_q12023_verified.pdf,2,reported_comparative,1354,370,13,1Q22,"Quarterly comparative."
Blibli/GDN,2022Q1,quarter,Physical Stores,IDR billion,blibli_q12023_verified,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,sources/core_public_documents/blibli_q12023_verified.pdf,2,reported_comparative,938,849,186,1Q22,"Quarterly comparative."
Blibli/GDN,2022Q1,quarter,Group,IDR billion,blibli_q12023_verified,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,sources/core_public_documents/blibli_q12023_verified.pdf,2,reported_comparative,10053,3168,533,1Q22,"Quarterly total; do not add to segments as another independent observation."
