platform,period,frequency,scope,unit,source_id,source_url,source_file,source_page,status,indonesia_country_pair_confirmed,tpv,tpv_source_line,revenue,revenue_source_line,gpbd,gpbd_source_line
Blibli/GDN,2022Q4,quarter,1P Retail,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,2631.0,"-    1P Retail                                                 2,631                 2,612               1               9,940                7,515               32",2336.0,"-    1P Retail                                                  2,336                2,329              0                8,902                 6,741              32",100.0,-    1P Retail                                                  100                   133              (25)               366                   382               (4)
Blibli/GDN,2022Q4,quarter,3P Retail,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,12776.0,"-    3P Retail                                                12,776                 5,772             121              37,050               15,746              135",41.0,"-    3P Retail                                                     41                   (0)        14,190                  199                   122              63",407.0,"-    3P Retail                                                  407                   230                77             1,314                   622              111"
Blibli/GDN,2022Q4,quarter,Institutions,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,4338.0,"-    Institutions                                              4,338                 3,313              31              10,433                8,154               28",1430.0,"-    Institutions                                               1,430                  405            253                2,615                 1,102             137",58.0,-    Institutions                                                 58                    16             261                130                     42             210
Blibli/GDN,2022Q4,quarter,Physical Stores,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,1055.0,"-    Physical Stores                                           1,055                   898              17               3,973                  988              302",939.0,"-    Physical Stores                                              939                  814             15                3,553                   892             298",204.0,-    Physical Stores                                            204                   180                14               772                   193              300
Blibli/GDN,2022Q4,quarter,Group,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,20800.0,"Total TPV                                                     20,800                12,595              65              61,396               32,403               89",4746.0,"Total Net Revenue                                                4,746                3,548             34               15,269                 8,858              72",769.0,"Total GPBD                                                       769                   560                37             2,582                 1,239              108"
Blibli/GDN,2021Q4,quarter,1P Retail,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,2612.0,"-    1P Retail                                                 2,631                 2,612               1               9,940                7,515               32",2329.0,"-    1P Retail                                                  2,336                2,329              0                8,902                 6,741              32",133.0,-    1P Retail                                                  100                   133              (25)               366                   382               (4)
Blibli/GDN,2021Q4,quarter,3P Retail,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,5772.0,"-    3P Retail                                                12,776                 5,772             121              37,050               15,746              135",-0.0,"-    3P Retail                                                     41                   (0)        14,190                  199                   122              63",230.0,"-    3P Retail                                                  407                   230                77             1,314                   622              111"
Blibli/GDN,2021Q4,quarter,Institutions,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,3313.0,"-    Institutions                                              4,338                 3,313              31              10,433                8,154               28",405.0,"-    Institutions                                               1,430                  405            253                2,615                 1,102             137",16.0,-    Institutions                                                 58                    16             261                130                     42             210
Blibli/GDN,2021Q4,quarter,Physical Stores,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,898.0,"-    Physical Stores                                           1,055                   898              17               3,973                  988              302",814.0,"-    Physical Stores                                              939                  814             15                3,553                   892             298",180.0,-    Physical Stores                                            204                   180                14               772                   193              300
Blibli/GDN,2021Q4,quarter,Group,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,12595.0,"Total TPV                                                     20,800                12,595              65              61,396               32,403               89",3548.0,"Total Net Revenue                                                4,746                3,548             34               15,269                 8,858              72",560.0,"Total GPBD                                                       769                   560                37             2,582                 1,239              108"
Blibli/GDN,2022FY,annual,1P Retail,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,9940.0,"-    1P Retail                                                 2,631                 2,612               1               9,940                7,515               32",8902.0,"-    1P Retail                                                  2,336                2,329              0                8,902                 6,741              32",366.0,-    1P Retail                                                  100                   133              (25)               366                   382               (4)
Blibli/GDN,2022FY,annual,3P Retail,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,37050.0,"-    3P Retail                                                12,776                 5,772             121              37,050               15,746              135",199.0,"-    3P Retail                                                     41                   (0)        14,190                  199                   122              63",1314.0,"-    3P Retail                                                  407                   230                77             1,314                   622              111"
Blibli/GDN,2022FY,annual,Institutions,IDR billion,blibli_fy2022_linked_0,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,raw_sources/blibli_fy2022_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,10433.0,"-    Institutions                                              4,338                 3,313              31              10,433                8,154               28",2615.0,"-    Institutions                                               1,430                  405            253                2,615                 1,102             137",130.0,-    Institutions                                                 58                    16             261                130                     42             210
