platform,country,year,revenue_usd_million,status,source_file,pdf_page,source_line
Grab,Indonesia,2025,715,direct_geographic_revenue_only,raw_sources/grab_fy2025_20f.pdf,198,Indonesia                                                                      715                  643                    605
Grab,Indonesia,2024,643,direct_geographic_revenue_only,raw_sources/grab_fy2025_20f.pdf,198,Indonesia                                                                      715                  643                    605
Grab,Indonesia,2023,605,direct_geographic_revenue_only,raw_sources/grab_fy2025_20f.pdf,198,Indonesia                                                                      715                  643                    605
Grab,Malaysia,2025,1039,direct_geographic_revenue_only,raw_sources/grab_fy2025_20f.pdf,198,"Malaysia                                                                     1,039                  816                    673"
Grab,Malaysia,2024,816,direct_geographic_revenue_only,raw_sources/grab_fy2025_20f.pdf,198,"Malaysia                                                                     1,039                  816                    673"
Grab,Malaysia,2023,673,direct_geographic_revenue_only,raw_sources/grab_fy2025_20f.pdf,198,"Malaysia                                                                     1,039                  816                    673"
Grab,Philippines,2025,316,direct_geographic_revenue_only,raw_sources/grab_fy2025_20f.pdf,198,Philippines                                                                    316                  265                    200
Grab,Philippines,2024,265,direct_geographic_revenue_only,raw_sources/grab_fy2025_20f.pdf,198,Philippines                                                                    316                  265                    200
Grab,Philippines,2023,200,direct_geographic_revenue_only,raw_sources/grab_fy2025_20f.pdf,198,Philippines                                                                    316                  265                    200
Grab,Singapore,2025,727,direct_geographic_revenue_only,raw_sources/grab_fy2025_20f.pdf,198,Singapore                                                                     727                   578                    480
Grab,Singapore,2024,578,direct_geographic_revenue_only,raw_sources/grab_fy2025_20f.pdf,198,Singapore                                                                     727                   578                    480
Grab,Singapore,2023,480,direct_geographic_revenue_only,raw_sources/grab_fy2025_20f.pdf,198,Singapore                                                                     727                   578                    480
Grab,Thailand,2025,288,direct_geographic_revenue_only,raw_sources/grab_fy2025_20f.pdf,198,Thailand                                                                      288                   252                    205
Grab,Thailand,2024,252,direct_geographic_revenue_only,raw_sources/grab_fy2025_20f.pdf,198,Thailand                                                                      288                   252                    205
Grab,Thailand,2023,205,direct_geographic_revenue_only,raw_sources/grab_fy2025_20f.pdf,198,Thailand                                                                      288                   252                    205
Grab,Vietnam,2025,255,direct_geographic_revenue_only,raw_sources/grab_fy2025_20f.pdf,198,Vietnam                                                                       255                   228                    185
Grab,Vietnam,2024,228,direct_geographic_revenue_only,raw_sources/grab_fy2025_20f.pdf,198,Vietnam                                                                       255                   228                    185
Grab,Vietnam,2023,185,direct_geographic_revenue_only,raw_sources/grab_fy2025_20f.pdf,198,Vietnam                                                                       255                   228                    185
Grab,Rest of Southeast Asia,2025,30,direct_geographic_revenue_only,raw_sources/grab_fy2025_20f.pdf,198,Rest of Southeast Asia                                                         30                    15                     11
Grab,Rest of Southeast Asia,2024,15,direct_geographic_revenue_only,raw_sources/grab_fy2025_20f.pdf,198,Rest of Southeast Asia                                                         30                    15                     11
Grab,Rest of Southeast Asia,2023,11,direct_geographic_revenue_only,raw_sources/grab_fy2025_20f.pdf,198,Rest of Southeast Asia                                                         30                    15                     11
