platform,period,geography,revenue_usd_million,input_status,source_file,source_locator,scope_note
Grab,FY2021,Indonesia,79,direct_country,01_RAW_SOURCES/main_indonesia/grab_2023_20f.htm,"FY2023 20-F business overview / country-revenue paragraph, HTML line 1263","Direct country revenue; country GTV is not disclosed."
Grab,FY2021,Malaysia,108,direct_country,01_RAW_SOURCES/main_indonesia/grab_2023_20f.htm,"FY2023 20-F business overview / country-revenue paragraph, HTML line 1263","Direct country revenue; country GTV is not disclosed."
Grab,FY2021,Philippines,81,direct_country,01_RAW_SOURCES/main_indonesia/grab_2023_20f.htm,"FY2023 20-F business overview / country-revenue paragraph, HTML line 1263","Direct country revenue; country GTV is not disclosed."
Grab,FY2021,Singapore,283,direct_country,01_RAW_SOURCES/main_indonesia/grab_2023_20f.htm,"FY2023 20-F business overview / country-revenue paragraph, HTML line 1263","Direct country revenue; country GTV is not disclosed."
Grab,FY2021,Thailand,76,direct_country,01_RAW_SOURCES/main_indonesia/grab_2023_20f.htm,"FY2023 20-F business overview / country-revenue paragraph, HTML line 1263","Direct country revenue; country GTV is not disclosed."
Grab,FY2022,Indonesia,275,direct_country,01_RAW_SOURCES/main_indonesia/grab_2023_20f.htm,"FY2023 20-F business overview / country-revenue paragraph, HTML line 1263","Direct country revenue; country GTV is not disclosed."
Grab,FY2022,Malaysia,509,direct_country,01_RAW_SOURCES/main_indonesia/grab_2023_20f.htm,"FY2023 20-F business overview / country-revenue paragraph, HTML line 1263","Direct country revenue; country GTV is not disclosed."
Grab,FY2022,Philippines,125,direct_country,01_RAW_SOURCES/main_indonesia/grab_2023_20f.htm,"FY2023 20-F business overview / country-revenue paragraph, HTML line 1263","Direct country revenue; country GTV is not disclosed."
Grab,FY2022,Singapore,302,direct_country,01_RAW_SOURCES/main_indonesia/grab_2023_20f.htm,"FY2023 20-F business overview / country-revenue paragraph, HTML line 1263","Direct country revenue; country GTV is not disclosed."
Grab,FY2022,Thailand,109,direct_country,01_RAW_SOURCES/main_indonesia/grab_2023_20f.htm,"FY2023 20-F business overview / country-revenue paragraph, HTML line 1263","Direct country revenue; country GTV is not disclosed."
Grab,FY2023,Indonesia,605,direct_country,01_RAW_SOURCES/main_indonesia/grab_2023_20f.htm,"FY2023 20-F business overview / country-revenue paragraph, HTML line 1263","Direct country revenue; country GTV is not disclosed."
Grab,FY2023,Malaysia,673,direct_country,01_RAW_SOURCES/main_indonesia/grab_2023_20f.htm,"FY2023 20-F business overview / country-revenue paragraph, HTML line 1263","Direct country revenue; country GTV is not disclosed."
Grab,FY2023,Philippines,200,direct_country,01_RAW_SOURCES/main_indonesia/grab_2023_20f.htm,"FY2023 20-F business overview / country-revenue paragraph, HTML line 1263","Direct country revenue; country GTV is not disclosed."
Grab,FY2023,Singapore,480,direct_country,01_RAW_SOURCES/main_indonesia/grab_2023_20f.htm,"FY2023 20-F business overview / country-revenue paragraph, HTML line 1263","Direct country revenue; country GTV is not disclosed."
Grab,FY2023,Thailand,205,direct_country,01_RAW_SOURCES/main_indonesia/grab_2023_20f.htm,"FY2023 20-F business overview / country-revenue paragraph, HTML line 1263","Direct country revenue; country GTV is not disclosed."
Grab,FY2024,Indonesia,643,direct_country,01_RAW_SOURCES/extension_indonesia/grab_fy2024_20f_cloudfront.pdf,"FY2024 20-F business overview, printed page 72 / pdftotext line 3366","Direct country revenue; GMV reporting changes to an on-demand-only basis in FY2024."
Grab,FY2024,Malaysia,816,direct_country,01_RAW_SOURCES/extension_indonesia/grab_fy2024_20f_cloudfront.pdf,"FY2024 20-F business overview, printed page 72 / pdftotext line 3366","Direct country revenue; GMV reporting changes to an on-demand-only basis in FY2024."
Grab,FY2024,Philippines,265,direct_country,01_RAW_SOURCES/extension_indonesia/grab_fy2024_20f_cloudfront.pdf,"FY2024 20-F business overview, printed page 72 / pdftotext line 3366","Direct country revenue; GMV reporting changes to an on-demand-only basis in FY2024."
Grab,FY2024,Singapore,578,direct_country,01_RAW_SOURCES/extension_indonesia/grab_fy2024_20f_cloudfront.pdf,"FY2024 20-F business overview, printed page 72 / pdftotext line 3366","Direct country revenue; GMV reporting changes to an on-demand-only basis in FY2024."
Grab,FY2024,Thailand,252,direct_country,01_RAW_SOURCES/extension_indonesia/grab_fy2024_20f_cloudfront.pdf,"FY2024 20-F business overview, printed page 72 / pdftotext line 3366","Direct country revenue; GMV reporting changes to an on-demand-only basis in FY2024."
