period,metric,value,unit,frequency,observation_type,source_file,source_page,source_url,scope_note
2023,digital_banking_transaction_value,58478.24,Rp trillion,annual,directly_reported,Monetary-Policy-Report-Quarter-IV-2023.pdf,8,https://www.bi.go.id/en/publikasi/laporan/Documents/Monetary-Policy-Report-Quarter-IV-2023.pdf,BI headline digital-banking definition; compare with SPIP proprietary-channel table only after checking definitions
2023,electronic_money_transaction_value,835.84,Rp trillion,annual,directly_reported,Monetary-Policy-Report-Quarter-IV-2023.pdf,8,https://www.bi.go.id/en/publikasi/laporan/Documents/Monetary-Policy-Report-Quarter-IV-2023.pdf,BI headline electronic-money definition; not identical to every total or shopping line in SPIP table 5e
2023,qris_transaction_value,229.96,Rp trillion,annual,directly_reported,Monetary-Policy-Report-Quarter-IV-2023.pdf,8,https://www.bi.go.id/en/publikasi/laporan/Documents/Monetary-Policy-Report-Quarter-IV-2023.pdf,QRIS payments nationally; not limited to e-commerce
2023,qris_users,45.78,million users,year_end,directly_reported,Monetary-Policy-Report-Quarter-IV-2023.pdf,8,https://www.bi.go.id/en/publikasi/laporan/Documents/Monetary-Policy-Report-Quarter-IV-2023.pdf,QRIS users nationally
2023,qris_merchants,30.41,million merchants,year_end,directly_reported,Monetary-Policy-Report-Quarter-IV-2023.pdf,8,https://www.bi.go.id/en/publikasi/laporan/Documents/Monetary-Policy-Report-Quarter-IV-2023.pdf,QRIS merchants nationally; report says MSMEs dominate
2023,atm_debit_credit_card_transaction_value,8178.69,Rp trillion,annual,directly_reported,Monetary-Policy-Report-Quarter-IV-2023.pdf,8,https://www.bi.go.id/en/publikasi/laporan/Documents/Monetary-Policy-Report-Quarter-IV-2023.pdf,Combined card-based payment value; not limited to purchases or e-commerce
2024,qris_transaction_volume,6.24,billion transactions,annual,directly_reported,LKTBI-2024.pdf,31,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Documents/LKTBI-2024.pdf,QRIS payments nationally; not limited to e-commerce
2024,qris_transaction_value,659.94,Rp trillion,annual,directly_reported,LKTBI-2024.pdf,31,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Documents/LKTBI-2024.pdf,QRIS payments nationally; not limited to e-commerce
2024,qris_users,55.4,million users,year_end,directly_reported,LKTBI-2024.pdf,31,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Documents/LKTBI-2024.pdf,QRIS users nationally
2024,qris_merchants,35.9,million merchants,year_end,directly_reported,LKTBI-2024.pdf,31,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Documents/LKTBI-2024.pdf,QRIS merchants nationally; 92.6 percent reported as MSMEs
2025,qris_users,59.53,million users,Q4_stock,directly_reported,LPI-2025_05_Bab-3.pdf,15,https://www.bi.go.id/id/publikasi/laporan/Documents/LPI-2025_05_Bab-3.pdf,QRIS users nationally at Q4 2025
2025,qris_merchants,42.75,million merchants,Q4_stock,directly_reported,LPI-2025_05_Bab-3.pdf,15,https://www.bi.go.id/id/publikasi/laporan/Documents/LPI-2025_05_Bab-3.pdf,QRIS merchants nationally at Q4 2025; report says most are MSMEs
2025,qris_transaction_volume_growth_yoy,139.99,percent,Q4_yoy_growth,directly_reported,LPI-2025_05_Bab-3.pdf,15,https://www.bi.go.id/id/publikasi/laporan/Documents/LPI-2025_05_Bab-3.pdf,Q4 year-on-year growth; not a full-year level
2025,qris_transaction_value_growth_yoy,107.22,percent,Q4_yoy_growth,directly_reported,LPI-2025_05_Bab-3.pdf,15,https://www.bi.go.id/id/publikasi/laporan/Documents/LPI-2025_05_Bab-3.pdf,Q4 year-on-year growth; not a full-year level
