series_id,source_sheet,source_table,source_row,indicator_id,indicator_label,unit,year,value_as_published,source_file
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2009,98178.888,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2010,111720.55600000001,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2011,138330.82100000003,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2012,184880.3982553836,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2013,242845.28900000002,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2014,292054.983,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2015,348746.229,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2016,424288.87200000003,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2017,501215.442,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2018,577329.8975000001,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2019,676034.9450000001,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2020,647291.425,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2021,788935.729,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2022,1261622.286,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2023,1375725.4340000001,SPIP-Desember-2025.xlsx
atm_debit_shopping_volume,5a,Table 5a. ATM Card and Debit Card,13,7,Volume Transaksi Belanja,Ribu Transaksi/ Thousands of Transaction,2024,1266526.793,SPIP-Desember-2025.xlsx
atm_debit_shopping_value,5a,Table 5a. ATM Card and Debit Card,19,13,Nilai Transaksi Belanja,Rp Miliar/Billions of Rp,2009,56171.235,SPIP-Desember-2025.xlsx
atm_debit_shopping_value,5a,Table 5a. ATM Card and Debit Card,19,13,Nilai Transaksi Belanja,Rp Miliar/Billions of Rp,2010,65317.622,SPIP-Desember-2025.xlsx
atm_debit_shopping_value,5a,Table 5a. ATM Card and Debit Card,19,13,Nilai Transaksi Belanja,Rp Miliar/Billions of Rp,2011,84571.382,SPIP-Desember-2025.xlsx
atm_debit_shopping_value,5a,Table 5a. ATM Card and Debit Card,19,13,Nilai Transaksi Belanja,Rp Miliar/Billions of Rp,2012,110703.02002162569,SPIP-Desember-2025.xlsx
atm_debit_shopping_value,5a,Table 5a. ATM Card and Debit Card,19,13,Nilai Transaksi Belanja,Rp Miliar/Billions of Rp,2013,147112.9067015935,SPIP-Desember-2025.xlsx
atm_debit_shopping_value,5a,Table 5a. ATM Card and Debit Card,19,13,Nilai Transaksi Belanja,Rp Miliar/Billions of Rp,2014,180640.90162941802,SPIP-Desember-2025.xlsx
atm_debit_shopping_value,5a,Table 5a. ATM Card and Debit Card,19,13,Nilai Transaksi Belanja,Rp Miliar/Billions of Rp,2015,210386.400449829,SPIP-Desember-2025.xlsx
atm_debit_shopping_value,5a,Table 5a. ATM Card and Debit Card,19,13,Nilai Transaksi Belanja,Rp Miliar/Billions of Rp,2016,251846.504002702,SPIP-Desember-2025.xlsx
