source_sheet,source_table,source_row,indicator_id,indicator_label,unit,year,value_as_published,source_file
5a,Table 5a. ATM Card and Debit Card,7,1,Jumlah Kartu/ Instrumen,Juta Unit/ Millions of Unit,2009,44.530085,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,7,1,Jumlah Kartu/ Instrumen,Juta Unit/ Millions of Unit,2010,51.639165,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,7,1,Jumlah Kartu/ Instrumen,Juta Unit/ Millions of Unit,2011,63.385310000000004,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,7,1,Jumlah Kartu/ Instrumen,Juta Unit/ Millions of Unit,2012,77.752552,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,7,1,Jumlah Kartu/ Instrumen,Juta Unit/ Millions of Unit,2013,89.462289,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,7,1,Jumlah Kartu/ Instrumen,Juta Unit/ Millions of Unit,2014,105.828204,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,7,1,Jumlah Kartu/ Instrumen,Juta Unit/ Millions of Unit,2015,120.279206,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,7,1,Jumlah Kartu/ Instrumen,Juta Unit/ Millions of Unit,2016,136.14835,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,7,1,Jumlah Kartu/ Instrumen,Juta Unit/ Millions of Unit,2017,164.478449,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,7,1,Jumlah Kartu/ Instrumen,Juta Unit/ Millions of Unit,2018,161.329105,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,7,1,Jumlah Kartu/ Instrumen,Juta Unit/ Millions of Unit,2019,183.42534999999998,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,7,1,Jumlah Kartu/ Instrumen,Juta Unit/ Millions of Unit,2020,213.607269,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,7,1,Jumlah Kartu/ Instrumen,Juta Unit/ Millions of Unit,2021,226.301984,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,7,1,Jumlah Kartu/ Instrumen,Juta Unit/ Millions of Unit,2022,256.04830499999997,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,7,1,Jumlah Kartu/ Instrumen,Juta Unit/ Millions of Unit,2023,285.772981,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,7,1,Jumlah Kartu/ Instrumen,Juta Unit/ Millions of Unit,2024,325.55109300000004,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,8,2,Kartu ATM,Juta Unit/ Millions of Unit,2009,3.378235,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,8,2,Kartu ATM,Juta Unit/ Millions of Unit,2010,2.766085,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,8,2,Kartu ATM,Juta Unit/ Millions of Unit,2011,3.623992,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,8,2,Kartu ATM,Juta Unit/ Millions of Unit,2012,4.533187,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,8,2,Kartu ATM,Juta Unit/ Millions of Unit,2013,6.292164,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,8,2,Kartu ATM,Juta Unit/ Millions of Unit,2014,7.189917,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,8,2,Kartu ATM,Juta Unit/ Millions of Unit,2015,7.330388,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,8,2,Kartu ATM,Juta Unit/ Millions of Unit,2016,8.361351,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,8,2,Kartu ATM,Juta Unit/ Millions of Unit,2017,8.815007,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,8,2,Kartu ATM,Juta Unit/ Millions of Unit,2018,8.847011,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,8,2,Kartu ATM,Juta Unit/ Millions of Unit,2019,8.979878,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,8,2,Kartu ATM,Juta Unit/ Millions of Unit,2020,9.504454,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,8,2,Kartu ATM,Juta Unit/ Millions of Unit,2021,5.002136,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,8,2,Kartu ATM,Juta Unit/ Millions of Unit,2022,4.584314,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,8,2,Kartu ATM,Juta Unit/ Millions of Unit,2023,4.299321,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,8,2,Kartu ATM,Juta Unit/ Millions of Unit,2024,3.893839,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,9,3,Kartu ATM+Debet,Juta Unit/ Millions of Unit,2009,41.15185,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,9,3,Kartu ATM+Debet,Juta Unit/ Millions of Unit,2010,48.87308,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,9,3,Kartu ATM+Debet,Juta Unit/ Millions of Unit,2011,59.761318,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,9,3,Kartu ATM+Debet,Juta Unit/ Millions of Unit,2012,73.219365,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,9,3,Kartu ATM+Debet,Juta Unit/ Millions of Unit,2013,83.170125,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,9,3,Kartu ATM+Debet,Juta Unit/ Millions of Unit,2014,98.638287,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,9,3,Kartu ATM+Debet,Juta Unit/ Millions of Unit,2015,112.948818,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,9,3,Kartu ATM+Debet,Juta Unit/ Millions of Unit,2016,127.786999,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,9,3,Kartu ATM+Debet,Juta Unit/ Millions of Unit,2017,155.663442,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,9,3,Kartu ATM+Debet,Juta Unit/ Millions of Unit,2018,152.482094,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,9,3,Kartu ATM+Debet,Juta Unit/ Millions of Unit,2019,174.445472,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,9,3,Kartu ATM+Debet,Juta Unit/ Millions of Unit,2020,204.102815,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,9,3,Kartu ATM+Debet,Juta Unit/ Millions of Unit,2021,221.299848,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,9,3,Kartu ATM+Debet,Juta Unit/ Millions of Unit,2022,251.463991,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,9,3,Kartu ATM+Debet,Juta Unit/ Millions of Unit,2023,281.47366,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,9,3,Kartu ATM+Debet,Juta Unit/ Millions of Unit,2024,321.657254,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,11,5,Volume Transaksi,Ribu Transaksi/ Thousands of Transaction,2009,1561161.673,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,11,5,Volume Transaksi,Ribu Transaksi/ Thousands of Transaction,2010,1812075.8810000003,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,11,5,Volume Transaksi,Ribu Transaksi/ Thousands of Transaction,2011,2262299.433,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,11,5,Volume Transaksi,Ribu Transaksi/ Thousands of Transaction,2012,2824108.3096002475,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,11,5,Volume Transaksi,Ribu Transaksi/ Thousands of Transaction,2013,3461149.8649999998,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,11,5,Volume Transaksi,Ribu Transaksi/ Thousands of Transaction,2014,4077696.164000001,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,11,5,Volume Transaksi,Ribu Transaksi/ Thousands of Transaction,2015,4574387.633,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,11,5,Volume Transaksi,Ribu Transaksi/ Thousands of Transaction,2016,5196512.4520000005,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,11,5,Volume Transaksi,Ribu Transaksi/ Thousands of Transaction,2017,5693226.552,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,11,5,Volume Transaksi,Ribu Transaksi/ Thousands of Transaction,2018,6408118.393,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,11,5,Volume Transaksi,Ribu Transaksi/ Thousands of Transaction,2019,7026962.689758146,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,11,5,Volume Transaksi,Ribu Transaksi/ Thousands of Transaction,2020,6658532.535,SPIP-Desember-2025.xlsx
5a,Table 5a. ATM Card and Debit Card,11,5,Volume Transaksi,Ribu Transaksi/ Thousands of Transaction,2021,7241115.283000001,SPIP-Desember-2025.xlsx
