source_sheet,source_table,source_row,indicator_id,indicator_label,unit,year,month,period,value_as_published,source_file
5b,Table 5b. ATM and ATM+Debet by Region,7,1,Jumlah Kartu/Instrumen,Juta Unit/ Millions of Unit,2009,1,2009-01,42.759658,SPIP-Desember-2025.xlsx
5b,Table 5b. ATM and ATM+Debet by Region,7,1,Jumlah Kartu/Instrumen,Juta Unit/ Millions of Unit,2009,2,2009-02,43.438116,SPIP-Desember-2025.xlsx
5b,Table 5b. ATM and ATM+Debet by Region,7,1,Jumlah Kartu/Instrumen,Juta Unit/ Millions of Unit,2009,3,2009-03,43.466084,SPIP-Desember-2025.xlsx
5b,Table 5b. ATM and ATM+Debet by Region,7,1,Jumlah Kartu/Instrumen,Juta Unit/ Millions of Unit,2009,4,2009-04,41.002634,SPIP-Desember-2025.xlsx
5b,Table 5b. ATM and ATM+Debet by Region,7,1,Jumlah Kartu/Instrumen,Juta Unit/ Millions of Unit,2009,5,2009-05,39.682941,SPIP-Desember-2025.xlsx
5b,Table 5b. ATM and ATM+Debet by Region,7,1,Jumlah Kartu/Instrumen,Juta Unit/ Millions of Unit,2009,6,2009-06,40.853809,SPIP-Desember-2025.xlsx
5b,Table 5b. ATM and ATM+Debet by Region,7,1,Jumlah Kartu/Instrumen,Juta Unit/ Millions of Unit,2009,7,2009-07,41.56689,SPIP-Desember-2025.xlsx
5b,Table 5b. ATM and ATM+Debet by Region,7,1,Jumlah Kartu/Instrumen,Juta Unit/ Millions of Unit,2009,8,2009-08,42.192305000000005,SPIP-Desember-2025.xlsx
5b,Table 5b. ATM and ATM+Debet by Region,7,1,Jumlah Kartu/Instrumen,Juta Unit/ Millions of Unit,2009,9,2009-09,42.741202,SPIP-Desember-2025.xlsx
5b,Table 5b. ATM and ATM+Debet by Region,7,1,Jumlah Kartu/Instrumen,Juta Unit/ Millions of Unit,2009,10,2009-10,43.424071999999995,SPIP-Desember-2025.xlsx
5b,Table 5b. ATM and ATM+Debet by Region,7,1,Jumlah Kartu/Instrumen,Juta Unit/ Millions of Unit,2009,11,2009-11,43.938434,SPIP-Desember-2025.xlsx
5b,Table 5b. ATM and ATM+Debet by Region,7,1,Jumlah Kartu/Instrumen,Juta Unit/ Millions of Unit,2009,12,2009-12,44.530085,SPIP-Desember-2025.xlsx
5b,Table 5b. ATM and ATM+Debet by Region,7,1,Jumlah Kartu/Instrumen,Juta Unit/ Millions of Unit,2010,1,2010-01,44.943873,SPIP-Desember-2025.xlsx
5b,Table 5b. ATM and ATM+Debet by Region,7,1,Jumlah Kartu/Instrumen,Juta Unit/ Millions of Unit,2010,2,2010-02,45.152536,SPIP-Desember-2025.xlsx
5b,Table 5b. ATM and ATM+Debet by Region,7,1,Jumlah Kartu/Instrumen,Juta Unit/ Millions of Unit,2010,3,2010-03,45.877068,SPIP-Desember-2025.xlsx
