platform,fiscal_year,quarter,gmv_or_gtv,matched_revenue,currency,unit,ecosystem_ratio,previous_calendar_quarter_ratio,ratio_qoq,basis,notes
GoTo,2022,2,150.537,1.903,IDR,trillions,78.105097215,,,contemporaneous clean event input,Q2 net revenue precision should be primary-source rechecked before final manuscript lock
GoTo,2022,3,160.941,4.569,IDR,trillions,34.224556796,78.105097215,-0.561814043,contemporaneous clean event input,
GoTo,2022,4,161.924,3.38,IDR,trillions,46.906508876,34.224556796,0.370551244,contemporaneous clean event input,
GoTo,2023,1,148.538,3.332,IDR,trillions,43.579231693,46.906508876,-0.070934232,contemporaneous clean event input,
GoTo,2023,2,143.739,3.552,IDR,trillions,39.467060811,43.579231693,-0.094360793,contemporaneous clean event input,
GoTo,2023,3,151.25,3.627,IDR,trillions,40.701130411,39.467060811,0.031268343,contemporaneous clean event input,Contemporaneous GTV; later comparative disclosure restated this to ~151.494
GoTo,2023,4,163.0,4.274,IDR,trillions,37.137576041,40.701130411,-0.087554187,contemporaneous clean event input,
GoTo,2024,1,116.506,3.078,IDR,trillions,36.851202079,37.137576041,-0.007711165,contemporaneous clean event input,Post-Tokopedia deconsolidation structural break; event ratio uses comparable/pro-forma basis
GoTo,2024,2,121.451,3.518,IDR,trillions,33.522740193,36.851202079,-0.090321664,contemporaneous clean event input,Post-Tokopedia deconsolidation structural break; comparable/pro-forma basis
GoTo,2024,3,137.363,3.926,IDR,trillions,33.988028528,33.522740193,0.013879782,contemporaneous clean event input,Post-Tokopedia deconsolidation structural break; comparable/pro-forma basis
GoTo,2024,4,144.464,4.231,IDR,trillions,33.144173954,33.988028528,-0.024827994,contemporaneous clean event input,Post-Tokopedia deconsolidation structural break; comparable/pro-forma basis
GoTo,2025,1,144.56,4.231,IDR,trillions,33.166863626,33.144173954,0.000684575,contemporaneous clean event input,
GoTo,2025,2,152.873,4.328,IDR,trillions,34.321857671,33.166863626,0.034823734,contemporaneous clean event input,
GoTo,2025,3,176.484,4.736,IDR,trillions,36.264358108,34.321857671,0.056596600,contemporaneous clean event input,
GoTo,2025,4,211.732,5.027,IDR,trillions,41.118957629,36.264358108,0.133866964,contemporaneous clean event input,
GoTo,2026,1,236.316,5.341,IDR,trillions,43.245646883,41.118957629,0.051720408,contemporaneous clean event input,
Grab,2022,1,3396,203,USD,millions,15.729064039,,,contemporaneous clean event input,
Grab,2022,2,3511,295,USD,millions,10.901694915,15.729064039,-0.306907589,contemporaneous clean event input,
Grab,2022,3,3525,347,USD,millions,9.158501441,10.901694915,-0.159901143,contemporaneous clean event input,
Grab,2022,4,3499,457,USD,millions,6.656455142,9.158501441,-0.273193853,contemporaneous clean event input,Deliveries business-model/revenue-recognition break caveat
Grab,2023,1,3562,469,USD,millions,6.594882729,6.656455142,-0.009250030,contemporaneous clean event input,
Grab,2023,2,3893,500,USD,millions,6.786000000,6.594882729,0.028979631,contemporaneous clean event input,
Grab,2023,3,4015,537,USD,millions,6.476722533,6.786000000,-0.045575813,contemporaneous clean event input,
Grab,2023,4,4122,558,USD,millions,6.387096774,6.476722533,-0.013838135,contemporaneous clean event input,
Grab,2024,1,4242,597,USD,millions,6.105527638,6.387096774,-0.044084057,contemporaneous clean event input,
Grab,2024,2,4434,603,USD,millions,6.353233831,6.105527638,0.040570809,contemporaneous clean event input,
Grab,2024,3,4659,651,USD,millions,6.156682028,6.353233831,-0.030937285,contemporaneous clean event input,
Grab,2024,4,5028,689,USD,millions,6.297532656,6.156682028,0.022877684,contemporaneous clean event input,
Grab,2025,1,4933,697,USD,millions,6.077474892,6.297532656,-0.034943489,contemporaneous clean event input,
Grab,2025,2,5354,734,USD,millions,6.294277929,6.077474892,0.035673210,contemporaneous clean event input,
Grab,2025,3,5774,782,USD,millions,6.383631714,6.294277929,0.014196034,contemporaneous clean event input,
Grab,2025,4,6078,806,USD,millions,6.540942928,6.383631714,0.024642903,contemporaneous clean event input,
Grab,2026,1,6131,847,USD,millions,6.238488784,6.540942928,-0.046240144,contemporaneous clean event input,
Sea,2022,1,17.4,1.5,USD,billions,10.600000000,,,contemporaneous clean event input,
Sea,2022,2,19.0,1.7,USD,billions,10.176470588,10.600000000,-0.039955605,contemporaneous clean event input,
Sea,2022,3,19.1,1.9,USD,billions,9.052631579,10.176470588,-0.110435047,contemporaneous clean event input,
Sea,2022,4,18.0,2.1,USD,billions,7.571428571,9.052631579,-0.163621262,contemporaneous clean event input,
Sea,2023,4,23.1,2.6,USD,billions,7.884615385,,,contemporaneous clean event input,2023Q1-Q2 excluded: Sea moved from quarterly to annual GMV disclosure
Sea,2024,1,23.6,2.7,USD,billions,7.740740741,7.884615385,-0.018247516,contemporaneous clean event input,
Sea,2024,2,23.3,2.8,USD,billions,7.321428571,7.740740741,-0.054169515,contemporaneous clean event input,
Sea,2024,3,25.1,3.2,USD,billions,6.843750000,7.321428571,-0.065243902,contemporaneous clean event input,
Sea,2024,4,28.6,3.7,USD,billions,6.729729730,6.843750000,-0.016660496,contemporaneous clean event input,
Sea,2025,1,28.6,3.5,USD,billions,7.171428571,6.729729730,0.065633964,contemporaneous clean event input,Corrected denominator; old lineage used a mixed segment/consolidated denominator around this transition
Sea,2025,2,29.8,3.8,USD,billions,6.842105263,7.171428571,-0.045921577,contemporaneous clean event input,
Sea,2025,3,32.2,4.3,USD,billions,6.488372093,6.842105263,-0.051699463,contemporaneous clean event input,
Sea,2025,4,36.7,5.0,USD,billions,6.340000000,6.488372093,-0.022867384,contemporaneous clean event input,
Sea,2026,1,37.3,5.1,USD,billions,6.313725490,6.340000000,-0.004144244,contemporaneous clean event input,
