platform,period,archived_source_file,source_url,panel_gtv_idr_trillion,issuer_gtv_display,panel_net_revenue_idr_trillion,issuer_net_revenue_display,issuer_display_scale,gtv_source_page,revenue_source_page,reconciliation_class,reported_basis,basis_and_precision_note,scope
GoTo,2022Q2,01_RAW_SOURCES/quarterly_releases/goto_q2_2022_pr.pdf,,150.537,"150,536,495",1.903,"1,902,617",IDR millions,2,2,ROUNDING-CONFIRMED,reported Group GTV and Group net revenue,Panel stores rounded IDR-trillion values; issuer table reports 150.536495 and 1.902617 trillion.,GoTo Group reporting; not Indonesia-only and not a main Indonesia-sample observation
GoTo,2022Q3,01_RAW_SOURCES/quarterly_releases/GOTO_2022Q3_primary_results_release.pdf,https://content.goinfra.co.id/asts/Press%20Release%20-%20GoTo%20Group%20Reports%20Third%20Quarter%202022%20Financial%20Results_Bilingual.pdf,160.941,"160,940,183",4.569,"4,568,903",IDR millions,2,2,ROUNDING-CONFIRMED,reported Group GTV and Group net revenue,Panel stores rounded IDR-trillion values; issuer table reports 160.940183 and 4.568903 trillion.,GoTo Group reporting; not Indonesia-only and not a main Indonesia-sample observation
GoTo,2022Q4,01_RAW_SOURCES/quarterly_releases/GOTO_2022Q4_primary_presentation.pdf,https://content.goinfra.co.id/asts/FINAL_2023.03.20_4Q22%20Earnings%20Presentation%20vSentB.pdf,161.924,161.9,3.38,3.4,"IDR trillions, presentation display",8,8,ROUNDING-DISPLAY-CONFIRMED,reported Group GTV and Group net revenue,Issuer presentation shows rounded headline/display values only; it does not support the panel's three-decimal precision.,GoTo Group reporting; not Indonesia-only and not a main Indonesia-sample observation
GoTo,2023Q1,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q1_primary_presentation.pdf,https://content.goinfra.co.id/asts/1Q23%20Earnings%20Presentation%20PT%20GoTo%20Gojek%20Tokopedia%20Tbk%20%281%29.pdf,148.538,"148,538",3.332,"3,332",IDR billions,15,15,EXACT,reported Group GTV and Group net revenue,Direct issuer presentation table.,GoTo Group reporting; not Indonesia-only and not a main Indonesia-sample observation
GoTo,2023Q2,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q2_primary_presentation.pdf,https://content.goinfra.co.id/asts/2Q23%20Earnings%20Presentation%20PT%20GoTo%20Gojek%20Tokopedia%20Tbk.pdf,143.739,"143,739",3.552,"3,552",IDR billions,22,22,EXACT,reported Group GTV and Group net revenue,Direct issuer presentation table.,GoTo Group reporting; not Indonesia-only and not a main Indonesia-sample observation
GoTo,2023Q3,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q3_primary_presentation.pdf,https://content.goinfra.co.id/asts/3Q23%20Earnings%20Presentation%20PT%20GoTo%20Gojek%20Tokopedia%20Tbk.pdf,151.25,"151,250",3.627,"3,627",IDR billions,23,23,EXACT,reported Group GTV and Group net revenue,Direct issuer presentation table.,GoTo Group reporting; not Indonesia-only and not a main Indonesia-sample observation
GoTo,2023Q4,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q4_primary_presentation.pdf,https://content.goinfra.co.id/asts/%5BFinal%5D%202024.03.19_4Q23%20Earnings%20Presentation.pdf,163.0,"163,020",4.274,"4,274",IDR billions,23,23,ROUNDING-CONFIRMED,reported Group GTV and Group net revenue,Issuer table reports 163.020 trillion; panel retains 163.0 trillion.,GoTo Group reporting; not Indonesia-only and not a main Indonesia-sample observation
GoTo,2024Q1,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q1_primary_presentation.pdf,https://content.goinfra.co.id/asts/InvestorRelation/QuarterlyReport/GOTO%201Q24%20Earnings%20Presentation.pdf,116.506,"116,506",3.078,"3,078",IDR billions,16,16,EXACT,reported Group GTV and Group net revenue on comparable/pro-forma basis,"Presentation distinguishes reported, restated and pro-forma GTV; retained panel uses pro-forma/comparable 116.506 and 3.078.",GoTo Group reporting; not Indonesia-only and not a main Indonesia-sample observation
GoTo,2024Q2,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q2_primary_presentation.pdf,https://content.goinfra.co.id/asts/2024-07-30/2Q24%20Earnings%20Presentation%20PT%20GoTo%20Gojek%20Tokopedia%20Tbk.pdf,121.451,"121,451",3.518,"3,518",IDR billions,17,17,EXACT,reported Group GTV and Group net revenue on comparable/pro-forma basis,"Retained panel uses presentation's comparable/pro-forma 121.451 and 3.518, not the actual/reported 115.340 and 3.658 shown elsewhere.",GoTo Group reporting; not Indonesia-only and not a main Indonesia-sample observation
GoTo,2024Q3,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q3_primary_presentation.pdf,https://content.goinfra.co.id/asts/2024-10-30/3Q24%20Earnings%20Presentation%20PT%20GoTo%20Gojek%20Tokopedia%20Tbk.pdf,137.363,"137,363",3.926,"3,926",IDR billions,18,18,EXACT,reported Group GTV and Group net revenue on comparable/pro-forma basis,Direct issuer presentation table.,GoTo Group reporting; not Indonesia-only and not a main Indonesia-sample observation
GoTo,2024Q4,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q4_primary_presentation.pdf,https://content.goinfra.co.id/asts/InvestorRelation/QuarterlyReport/%5BFINAL%5D%202025.03.12_4Q24%20%26%20FY24%20Earnings%20Presentation.pdf,144.464,"144,464",4.231,"4,231",IDR billions,29,29,EXACT,reported Group GTV and Group net revenue on comparable/pro-forma basis,Direct issuer presentation table.,GoTo Group reporting; not Indonesia-only and not a main Indonesia-sample observation
GoTo,2025Q1,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q1_primary_presentation.pdf,https://content.goinfra.co.id/asts/InvestorRelation/FinancialInformation/GOTO%201Q25%20Earnings%20Presentation.pdf,144.56,"144,560",4.231,"4,231",IDR billions,27,27,EXACT,reported Group GTV and Group net revenue,Direct issuer presentation table.,GoTo Group reporting; not Indonesia-only and not a main Indonesia-sample observation
GoTo,2025Q2,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q2_primary_presentation.pdf,https://content.goinfra.co.id/asts/InvestorRelation/FinancialInformation/2025-08-13/GOTO%202Q25%20Earnings%20Presentation.pdf,152.873,"152,873",4.328,"4,328",IDR billions,28,28,EXACT,reported Group GTV and Group net revenue,Direct issuer presentation table.,GoTo Group reporting; not Indonesia-only and not a main Indonesia-sample observation
GoTo,2025Q3,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q3_primary_presentation.pdf,https://content.goinfra.co.id/asts/InvestorRelation/FinancialInformation/2025-10-29/GOTO%203Q25%20Earnings%20Presentation.pdf,176.484,"176,484",4.736,"4,736",IDR billions,25,25,EXACT,reported Group GTV and Group net revenue,Direct issuer presentation table.,GoTo Group reporting; not Indonesia-only and not a main Indonesia-sample observation
GoTo,2025Q4,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q4_primary_presentation.pdf,https://content.goinfra.co.id/asts/InvestorRelation/FinancialInformation/2026-03-11/GOTO%20Q4%20FY25%20Earnings%20Presentation.pdf,211.732,"211,732",5.027,"5,027",IDR billions,27,27,EXACT,reported Group GTV and Group net revenue,Direct issuer presentation table.,GoTo Group reporting; not Indonesia-only and not a main Indonesia-sample observation
GoTo,2026Q1,01_RAW_SOURCES/quarterly_releases/GOTO_2026Q1_primary_presentation.pdf,https://content.goinfra.co.id/asts/InvestorRelation/FinancialInformation/2026-04-28/GOTO%201Q26%20Earnings%20Presentation.pdf,236.316,"236,316",5.341,"5,341",IDR billions,29,29,EXACT,reported Group GTV and Group net revenue,Direct issuer presentation table.,GoTo Group reporting; not Indonesia-only and not a main Indonesia-sample observation
