period,document_role,url,filename,note,saved_file,archive_status,bytes,sha256,error
2022Q2,issuer_results_release_already_archived,,goto_q2_2022_pr.pdf,Original archive file; retained without re-download.,01_RAW_SOURCES/quarterly_releases/goto_q2_2022_pr.pdf,already_present,355109,a21f4df116daed97e99d7024ad52a29189eaeecb257a0be0613ff58fbed3f708,
2022Q3,issuer_results_release,https://content.goinfra.co.id/asts/Press%20Release%20-%20GoTo%20Group%20Reports%20Third%20Quarter%202022%20Financial%20Results_Bilingual.pdf,GOTO_2022Q3_primary_results_release.pdf,Issuer-hosted bilingual third-quarter release.,01_RAW_SOURCES/quarterly_releases/GOTO_2022Q3_primary_results_release.pdf,already_present,356670,2bb804d72a968564c4eb694e5511163d240de0e379e42e1f468a39f52fff4564,
2022Q4,issuer_results_presentation,https://content.goinfra.co.id/asts/FINAL_2023.03.20_4Q22%20Earnings%20Presentation%20vSentB.pdf,GOTO_2022Q4_primary_presentation.pdf,Issuer-hosted fourth-quarter earnings presentation.,01_RAW_SOURCES/quarterly_releases/GOTO_2022Q4_primary_presentation.pdf,already_present,2509985,1d7510a4a3117f2e2848ba12c43bbcde15e6bae366a8d930920fe5b0637979bd,
2023Q1,issuer_results_presentation,https://content.goinfra.co.id/asts/1Q23%20Earnings%20Presentation%20PT%20GoTo%20Gojek%20Tokopedia%20Tbk%20%281%29.pdf,GOTO_2023Q1_primary_presentation.pdf,Issuer-hosted first-quarter earnings presentation.,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q1_primary_presentation.pdf,already_present,1885266,8c0abc69cccf3ba072276986d0e925c495747b2b264e76fcb1d00fd9bd6b7948,
2023Q2,issuer_results_presentation,https://content.goinfra.co.id/asts/2Q23%20Earnings%20Presentation%20PT%20GoTo%20Gojek%20Tokopedia%20Tbk.pdf,GOTO_2023Q2_primary_presentation.pdf,Issuer-hosted second-quarter earnings presentation.,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q2_primary_presentation.pdf,already_present,5007172,84079fe296578e48c4042ae476b5e6e0234fd50d98f0e2cae0a07c4836b703d0,
2023Q3,issuer_results_presentation,https://content.goinfra.co.id/asts/3Q23%20Earnings%20Presentation%20PT%20GoTo%20Gojek%20Tokopedia%20Tbk.pdf,GOTO_2023Q3_primary_presentation.pdf,Issuer-hosted third-quarter earnings presentation.,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q3_primary_presentation.pdf,already_present,3941523,bf832f0bf8d57b4c57085f473de6b9843559ad4be4acca38c0acb96955248e0d,
2023Q4,issuer_results_presentation,https://content.goinfra.co.id/asts/%5BFinal%5D%202024.03.19_4Q23%20Earnings%20Presentation.pdf,GOTO_2023Q4_primary_presentation.pdf,Issuer-hosted fourth-quarter/FY earnings presentation.,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q4_primary_presentation.pdf,already_present,5093646,db56dd5a54ded037f65f2aa64881a7bec2a159fb23ff9be56f70b3d73517ddb4,
2024Q1,issuer_results_presentation,https://content.goinfra.co.id/asts/InvestorRelation/QuarterlyReport/GOTO%201Q24%20Earnings%20Presentation.pdf,GOTO_2024Q1_primary_presentation.pdf,Issuer-hosted first-quarter earnings presentation.,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q1_primary_presentation.pdf,already_present,3865603,520f5eb7c1405bd4ab50f267b5a303c2e34775a2d7b5fd9b722371c6ee640365,
2024Q2,issuer_results_presentation,https://content.goinfra.co.id/asts/2024-07-30/2Q24%20Earnings%20Presentation%20PT%20GoTo%20Gojek%20Tokopedia%20Tbk.pdf,GOTO_2024Q2_primary_presentation.pdf,Issuer-hosted second-quarter earnings presentation.,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q2_primary_presentation.pdf,already_present,2436530,51621e07a4f4230c5391ad3795e028ed8ba681fa0cddef03c768f23253ecd728,
2024Q3,issuer_results_presentation,https://content.goinfra.co.id/asts/2024-10-30/3Q24%20Earnings%20Presentation%20PT%20GoTo%20Gojek%20Tokopedia%20Tbk.pdf,GOTO_2024Q3_primary_presentation.pdf,Issuer-hosted third-quarter earnings presentation.,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q3_primary_presentation.pdf,already_present,2648284,1bb59fe217cfc109bb6e5a4f64d6bb5face84d4456653baec51b9a32602d56f8,
