platform,period,archived_source_file,source_url,panel_gmv_or_gtv_usd_m,source_gmv_or_gtv_usd_m,gmv_difference_panel_minus_source_usd_m,gmv_reconciliation,panel_matched_revenue_usd_m,source_matched_revenue_usd_m,revenue_difference_panel_minus_source_usd_m,revenue_reconciliation,deliveries_table_index,deliveries_gmv_usd_m,deliveries_revenue_usd_m,mobility_table_index,mobility_gmv_usd_m,mobility_revenue_usd_m,source_gmv_basis,source_revenue_basis,interpretation
Grab,2022Q1,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q1_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1855612/000119312522154516/d480353dex991.htm,3396,3396,0,MATCH,203,203,0,MATCH,8,2562,91,9,834,112,reported Deliveries GMV + reported Mobility GMV,reported Deliveries revenue + reported Mobility revenue,No panel value changed. REVIEW means the retained panel does not exactly equal the filed source extraction.
Grab,2022Q2,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q2_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1855612/000119312522229152/d387827dex991.htm,3511,3511,0,MATCH,295,295,0,MATCH,20,2476,134,22,1035,161,reported Deliveries GMV + reported Mobility GMV,reported Deliveries revenue + reported Mobility revenue,No panel value changed. REVIEW means the retained panel does not exactly equal the filed source extraction.
Grab,2022Q3,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q3_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1855612/000119312522286220/d420282dex991.htm,3525,3525,0,MATCH,347,347,0,MATCH,24,2439,171,29,1086,176,reported Deliveries GMV + reported Mobility GMV,reported Deliveries revenue + reported Mobility revenue,No panel value changed. REVIEW means the retained panel does not exactly equal the filed source extraction.
Grab,2022Q4,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q4_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1855612/000119312523045533/d449524dex991.htm,3499,3499,0,MATCH,457,457,0,MATCH,34,2350,268,41,1149,189,reported Deliveries GMV + reported Mobility GMV,reported Deliveries revenue + reported Mobility revenue,No panel value changed. REVIEW means the retained panel does not exactly equal the filed source extraction.
Grab,2023Q1,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q1_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1855612/000095017023022877/ck0001855612-ex99_1.htm,3562,3562,0,MATCH,469,469,0,MATCH,1,2344,275,2,1218,194,reported Deliveries GMV + reported Mobility GMV,reported Deliveries revenue + reported Mobility revenue,No panel value changed. REVIEW means the retained panel does not exactly equal the filed source extraction.
Grab,2023Q2,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q2_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1855612/000095017023044020/ck0001855612-ex99_1.htm,3893,3893,0,MATCH,500,500,0,MATCH,2,2573,292,3,1320,208,reported Deliveries GMV + reported Mobility GMV,reported Deliveries revenue + reported Mobility revenue,No panel value changed. REVIEW means the retained panel does not exactly equal the filed source extraction.
Grab,2023Q3,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q3_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1855612/000095017023061499/ck0001855612-ex99_1.htm,4015,4015,0,MATCH,537,537,0,MATCH,1,2608,306,2,1407,231,reported Deliveries GMV + reported Mobility GMV,reported Deliveries revenue + reported Mobility revenue,No panel value changed. REVIEW means the retained panel does not exactly equal the filed source extraction.
Grab,2023Q4,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q4_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1855612/000095017024018412/ck0001855612-ex99_1.htm,4122,4122,0,MATCH,558,558,0,MATCH,2,2648,321,3,1474,237,reported On-Demand GMV,reported Deliveries revenue + reported Mobility revenue,No panel value changed. REVIEW means the retained panel does not exactly equal the filed source extraction.
Grab,2024Q1,01_RAW_SOURCES/quarterly_releases/GRAB_2024Q1_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1855612/000095017024060727/ck0001855612-ex99_1.htm,4242,4242,0,MATCH,597,597,0,MATCH,1,2695,350,2,1547,247,reported On-Demand GMV,reported Deliveries revenue + reported Mobility revenue,No panel value changed. REVIEW means the retained panel does not exactly equal the filed source extraction.
Grab,2024Q2,01_RAW_SOURCES/quarterly_releases/GRAB_2024Q2_sec_primary_exhibit.html,https://www.sec.gov/Archives/edgar/data/1855612/000095017024097373/ck0001855612-ex99_1.htm,4434,4434,0,MATCH,603,603,0,MATCH,1,2850,356,2,1584,247,reported On-Demand GMV,reported Deliveries revenue + reported Mobility revenue,No panel value changed. REVIEW means the retained panel does not exactly equal the filed source extraction.
