firm,fiscal_quarter,source_url,source_type,source_relation,retrieved_at_utc,http_status,content_type,saved_file,bytes,sha256,archive_status,error
GRAB,2022Q3,https://www.sec.gov/Archives/edgar/data/1855612/000119312522286220/d420282dex991.htm,sec_exhibit_99_1,replacement_for_blocked_registry_url,2026-09-08T09:53:04.420141+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q3_sec_exhibit_99_1.html,273534,469411c14d59bda92cbbd681adb72b34b5d24b5486137f8c8a57209e39c65cb0,retrieved,
GRAB,2022Q4,https://www.sec.gov/Archives/edgar/data/1855612/000119312523045533/d449524dex991.htm,sec_exhibit_99_1,replacement_for_blocked_registry_url,2026-09-08T09:53:04.877614+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q4_sec_exhibit_99_1.html,328139,56f193f7fadd7e6327898aa0e1a7eb59f512537564548c7163c001fee717b56b,retrieved,
GRAB,2023Q3,https://www.sec.gov/Archives/edgar/data/1855612/000095017023061487/ck0001855612-ex99_1.htm,sec_exhibit_99_1,replacement_for_blocked_registry_url,2026-09-08T09:53:05.340360+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q3_sec_exhibit_99_1.html,642981,22a505518d1b728a977b7e81a18e897e5ea271d6e1fb1a27bc76ec628f80095b,retrieved,
GRAB,2023Q2,https://www.sec.gov/Archives/edgar/data/1855612/000095017023044020/ck0001855612-ex99_1.htm,sec_exhibit_99_1,missing_panel_source_recovered,2026-09-08T09:53:05.697672+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q2_sec_exhibit_99_1.html,746641,c6904e76f2fab83e3ba1c5e4464cde2c48497cb275bae7a9d8bbaaaf7f535d18,retrieved,
GRAB,2026Q1,https://www.sec.gov/Archives/edgar/data/1855612/000185561226000077/a42026q1-earningspressrele.htm,sec_exhibit_99_1,missing_panel_source_recovered,2026-09-08T09:53:05.952528+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GRAB_2026Q1_sec_exhibit_99_1.html,304295,dfeffb4eec6d287cf86e73a106fb05906323f7470775d2291f843047447bf521,retrieved,
SEA,2022Q1,https://www.sec.gov/Archives/edgar/data/1703399/000110465922061936/tm2215818d1_ex99-1.htm,sec_exhibit_99_1,replacement_for_blocked_registry_url,2026-09-08T09:53:06.203082+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/SEA_2022Q1_sec_exhibit_99_1.html,348690,858c6a0daa9bab15b154165286b9d832081689574af383b7574d0b25405b088d,retrieved,
SEA,2022Q2,https://www.sec.gov/Archives/edgar/data/1703399/000110465922091743/tm2223563d1_ex99-1.htm,sec_exhibit_99_1,replacement_for_blocked_registry_url,2026-09-08T09:53:06.644130+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/SEA_2022Q2_sec_exhibit_99_1.html,320486,b87d17cfaa90a639028a8e6dd9963d7ff52e40df368224bb055da4aac954218a,retrieved,
SEA,2022Q3,https://www.sec.gov/Archives/edgar/data/1703399/000110465922119122/tm2230567d1_ex99-1.htm,sec_exhibit_99_1,replacement_for_blocked_registry_url,2026-09-08T09:53:07.164746+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/SEA_2022Q3_sec_exhibit_99_1.html,307880,2d0a808d49a50d41036cd841f9c365da11ca6fa5bceba8bedfa6d51f36370826,retrieved,
SEA,2022Q4,https://www.sec.gov/Archives/edgar/data/1703399/000110465923029545/tm238717d1_ex99-1.htm,sec_exhibit_99_1,replacement_for_blocked_registry_url,2026-09-08T09:53:07.626021+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/SEA_2022Q4_sec_exhibit_99_1.html,473458,d525c3f5d0d240c81aa7b9ebdc6f7cc0f5a7e5bb9e9a5c88219d59d627ad92ad,retrieved,
SEA,2023Q2,https://www.sec.gov/Archives/edgar/data/1703399/000110465923091949/tm2323800d1_ex99-1.htm,sec_exhibit_99_1,replacement_for_blocked_registry_url,2026-09-08T09:53:08.078588+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/SEA_2023Q2_sec_exhibit_99_1.html,297075,2a9ad9d06d61deb8f10b703aab62fb19f5c75c0889bcf4ed9a7dabea0bdd2c6f,retrieved,
