issuer,release_period,metric,value,currency,scale,pdf_page,quote,source_file,source_url,status
Sea/Shopee,2026 Q2,GMV,38.3,USD,billion,1,"illion for the quarter, increasing by 27.5% year-on-year. o GMV was US$38.3 billion for the quarter, increasing by 28.4% year-on-year. o GAAP revenue was US$5.6 billion, up 48.2% year-on-year. 1 ",raw/sea/d2406e347724_2026.08.11_20Sea_20Second_20Quarter_202026_20Results.pdf.pdf,https://cdn.sea.com/investor/2Q2026/wFBC39MbqnfLb3MGY6LP/2026.08.11%20Sea%20Second%20Quarter%202026%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2026 Q1,GMV,37.3,USD,billion,2,"illion for the quarter, increasing by 29.3% year-on-year. o GMV was US$37.3 billion for the quarter, increasing by 30.2% year-on-year. o GAAP revenue was US$5.1 billion, up 45.1% year-on-year. o GAAP revenue included US$4.5 billion of GAA",raw/sea/c8e5c701fd0f_2026.05.12_20Sea_20First_20Quarter_202026_20Results.pdf.pdf,https://cdn.sea.com/investor/1Q2026/HEEdeRDe0NyiZ1PrWIvH/2026.05.12%20Sea%20First%20Quarter%202026%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2025 Q4,GMV,36.7,USD,billion,1,"illion for the quarter, increasing by 30.5% year-on-year. o GMV was US$36.7 billion for the quarter, increasing by 28.6% year-on-year. o GAAP revenue was US$5.0 billion, up 35.8% year-on-year. o GAAP revenue included US$4.3 billion of GAA",raw/sea/7fa19f416d57_2026.03.03_20Sea_20Fourth_20Quarter_20and_20Full_20Year_202025_20Results.pdf.pdf,https://cdn.sea.com/investor/4Q2025/JcKns4LaJC8bxcQdJwXz/2026.03.03%20Sea%20Fourth%20Quarter%20and%20Full%20Year%202025%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2025 Q4,GMV,127.4,USD,billion,2,"s totaled 13.9 billion, increasing by 27.2% year-on-year. o GMV was US$127.4 billion, increasing by 26.8% year-on-year. o GAAP revenue was US$16.6 billion, up 33.4% year-on-year. o GAAP revenue included US$14.5 billion of G",raw/sea/7fa19f416d57_2026.03.03_20Sea_20Fourth_20Quarter_20and_20Full_20Year_202025_20Results.pdf.pdf,https://cdn.sea.com/investor/4Q2025/JcKns4LaJC8bxcQdJwXz/2026.03.03%20Sea%20Fourth%20Quarter%20and%20Full%20Year%202025%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2025 Q3,GMV,32.2,USD,billion,1,"illion for the quarter, increasing by 28.4% year-on-year. o GMV was US$32.2 billion for the quarter, increasing by 28.4% year-on-year. 1 ",raw/sea/b497c581eb44_2025.11.11_20Sea_20Third_20Quarter_202025_20Results.pdf.pdf,https://cdn.sea.com/investor/3Q2025/VCQyb53nURvpodOR3CpG/2025.11.11%20Sea%20Third%20Quarter%202025%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2025 Q2,GMV,29.8,USD,billion,2,"illion for the quarter, increasing by 28.6% year-on-year. o GMV was US$29.8 billion for the quarter, increasing by 28.2% year-on-year. o GAAP revenue was US$3.8 billion, up 33.7% year-on-year. o GAAP revenue included US$3.3 billion of GAA",raw/sea/c90b613716f7_2025.08.12_20Sea_20Second_20Quarter_202025_20Results.pdf.pdf,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/2Q2025/ael196LSsTKP3uVZYuCA/2025.08.12%20Sea%20Second%20Quarter%202025%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2025 Q1,GMV,28.6,USD,billion,2,"illion for the quarter, increasing by 20.5% year-on-year. o GMV was US$28.6 billion for the quarter, increasing by 21.5% year-on-year. o GAAP revenue was US$3.5 billion, up 28.3% year-on-year. o GAAP revenue included US$3.1 billion of GAA",raw/sea/ef7ce37ba8c8_2025.05.13_20Sea_20First_20Quarter_202025_20Results.pdf.pdf,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/1Q2025/QHZ189TXIR0Fivp2PfCZ/2025.05.13%20Sea%20First%20Quarter%202025%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2024 Q4,GMV,28.6,USD,billion,1,"illion for the quarter, increasing by 20.1% year-on-year. o GMV was US$28.6 billion for the quarter, increasing by 23.5% year-on-year. 1 ",raw/sea/416795914b61_2025.03.04_20Sea_20Fourth_20Quarter_20and_20Full_20Year_202024_20Results.pdf.pdf,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/4Q2024/PiuK2bhIyLtug8iucOux/2025.03.04%20Sea%20Fourth%20Quarter%20and%20Full%20Year%202024%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2024 Q4,GMV,100.5,USD,billion,2,"Gross orders totaled 10.9 billion, up 33.0% year-on-year. o GMV was US$100.5 billion, up 28.0% year-on-year. 2 ",raw/sea/416795914b61_2025.03.04_20Sea_20Fourth_20Quarter_20and_20Full_20Year_202024_20Results.pdf.pdf,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/4Q2024/PiuK2bhIyLtug8iucOux/2025.03.04%20Sea%20Fourth%20Quarter%20and%20Full%20Year%202024%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2024 Q3,GMV,25.1,USD,billion,1,"illion for the quarter, increasing by 24.2% year-on-year. o GMV was US$25.1 billion for the quarter, increasing by 25.2% year-on-year. o GAAP revenue was US$3.2 billion, up 42.6% year-on-year. o GAAP revenue included US$2.8 billion of GAA",raw/sea/ca33eaf97292_2024.11.12_20Sea_20Third_20Quarter_202024_20Results.pdf.pdf,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/3Q2024/RP8KKr0FKNxCwFHgBOUJ/2024.11.12%20Sea%20Third%20Quarter%202024%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
