province,financial_reports_have_pct,financial_reports_not_have_pct,website_sales_media_pct,email_sales_media_pct,instant_messaging_sales_media_pct,social_media_sales_media_pct,marketplace_sales_media_pct,year,source_status,source_url,source_locator,definition_note,ecommerce_business_share_pct,ecommerce_business_share_rse_pct,estimated_ecommerce_businesses_2023
Aceh,19.52,80.48,0.39,2.89,98.72,47.11,5.5,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,0.88,5.84,33587
Sumatera Utara,15.6,84.4,0.98,6.08,97.67,53.82,8.28,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,3.8,6.19,145037
Sumatera Barat,13.48,86.52,1.23,1.44,94.82,39.0,16.94,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,1.05,5.73,40076
Riau,20.15,79.85,2.39,4.97,94.77,50.55,14.55,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,1.68,4.33,64121
Jambi,16.49,83.51,0.84,3.12,97.84,47.52,10.69,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,0.8,5.53,30534
Sumatera Selatan,14.96,85.04,1.12,3.23,94.62,46.63,15.18,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,0.91,6.47,34723
Bengkulu,16.02,83.98,1.57,4.01,97.04,55.82,10.35,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,0.66,7.47,25191
Lampung,15.53,84.47,1.6,1.93,97.74,34.8,11.78,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,1.52,7.68,58015
Kep. Bangka Belitung,11.72,88.28,1.07,1.91,99.1,41.7,3.25,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,0.49,4.82,18703
Kepulauan Riau,28.99,71.01,2.59,1.66,96.19,42.04,16.89,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,1.05,10.66,40076
DKI Jakarta,20.61,79.39,3.65,7.86,84.57,22.3,41.4,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,8.99,4.79,343126
Jawa Barat,17.66,82.34,2.37,3.28,94.66,27.29,18.42,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,21.43,4.4,817930
Jawa Tengah,7.24,92.76,0.69,0.74,98.01,28.79,13.93,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,17.66,5.13,673966
D.I. Yogyakarta,9.45,90.55,1.41,0.19,96.48,24.01,16.03,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,5.08,6.26,193885
Jawa Timur,14.99,85.01,0.84,3.63,98.19,31.6,15.08,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,18.31,6.02,698685
Banten,24.15,75.85,3.22,6.15,92.13,23.98,26.57,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,3.57,4.83,136239
Bali,20.36,79.64,5.45,6.92,93.61,33.05,22.85,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,2.12,5.4,80922
Nusa Tenggara Barat,9.38,90.62,1.97,1.46,97.76,63.03,10.27,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,1.01,4.7,38549
Nusa Tenggara Timur,21.1,78.9,1.4,2.55,93.38,67.55,14.13,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,0.52,6.17,19847
Kalimantan Barat,16.6,83.4,1.24,1.79,94.96,50.7,12.49,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,0.67,5.18,25570
Kalimantan Tengah,16.12,83.88,0.42,1.57,97.13,54.33,8.5,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,0.49,5.09,18703
Kalimantan Selatan,16.61,83.39,1.24,2.33,94.77,35.38,16.49,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,1.05,5.92,40076
Kalimantan Timur,16.19,83.81,1.59,1.54,97.48,54.96,12.89,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,1.5,4.6,57251
Kalimantan Utara,15.17,84.83,1.52,2.24,98.02,59.32,8.55,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,0.21,4.35,8015
Sulawesi Utara,25.53,74.47,7.49,9.44,88.05,82.91,15.21,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,0.48,7.88,18320
Sulawesi Tengah,24.97,75.03,0.63,3.64,91.46,70.4,11.45,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,0.5,5.28,19084
Sulawesi Selatan,9.72,90.28,2.36,3.51,96.32,55.06,12.04,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,2.41,6.39,91959
Sulawesi Tenggara,14.23,85.77,0.44,1.5,98.0,66.12,8.56,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,0.35,10.9,13359
Gorontalo,4.01,95.99,0.38,,92.16,72.61,12.14,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Email value displayed as dash; sales-media question allows multiple answers.,0.18,5.78,6870
Sulawesi Barat,11.58,88.42,0.9,1.49,98.53,58.36,4.66,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,0.22,4.97,8397
Maluku,24.41,75.59,2.66,6.58,91.32,53.78,14.9,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,0.09,9.37,3435
Maluku Utara,23.58,76.42,1.09,1.74,86.35,70.28,11.7,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,0.08,17.25,3053
Papua Barat,17.79,82.21,0.0,2.03,93.79,72.83,1.27,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,0.04,15.38,1527
Papua Barat Daya,38.26,61.74,2.93,2.86,92.58,69.76,10.04,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 6 p.62 and Appendix 14 p.74,Sales-media question allows multiple answers; percentages do not sum to 100.,0.04,7.67,1527
