province,change_financial_reports_pp,change_marketplace_use_pp,average_estimated_businesses,overall_change_pearson_r,overall_change_pearson_p,overall_change_spearman_rho,overall_change_spearman_p,overall_change_weighted_r
Aceh,2.4299999999999997,0.71,55670.5,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Bali,11.02,5.809999999999999,107956.0,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Banten,2.59,-3.990000000000002,147439.0,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Bengkulu,3.2699999999999996,4.300000000000001,48445.0,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
D.I. Yogyakarta,1.5600000000000005,3.9899999999999984,231641.5,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
DKI Jakarta,-1.4600000000000009,0.0,402954.0,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Gorontalo,2.6800000000000006,2.49,8941.5,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Jambi,5.560000000000002,-0.6099999999999994,41130.5,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Jawa Barat,-1.3999999999999986,-2.1000000000000014,763890.5,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Jawa Tengah,7.029999999999999,-2.3100000000000005,649830.5,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Jawa Timur,0.5800000000000001,-2.1899999999999995,694613.5,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Kalimantan Barat,4.329999999999998,-0.9000000000000004,32974.5,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Kalimantan Selatan,-0.46000000000000085,0.7900000000000027,53856.5,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Kalimantan Tengah,-2.6400000000000006,1.5700000000000003,24820.0,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Kalimantan Timur,4.049999999999997,-0.7300000000000004,73331.0,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Kalimantan Utara,-1.4000000000000004,-3.410000000000001,13140.0,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Kep. Bangka Belitung,2.59,3.2699999999999996,30639.0,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Kepulauan Riau,-8.77,-1.0899999999999999,46952.5,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Lampung,5.340000000000002,-0.3899999999999988,87698.5,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Maluku,10.190000000000001,1.839999999999998,9602.0,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Maluku Utara,-3.099999999999998,2.67,3127.0,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Nusa Tenggara Barat,6.979999999999999,-0.9800000000000004,43902.5,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Nusa Tenggara Timur,1.7699999999999996,3.369999999999999,21543.0,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Papua,-2.6199999999999974,3.4200000000000017,3749.0,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Papua Barat,-1.9299999999999997,1.2999999999999998,1659.0,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Papua Barat Daya,-16.04,-3.8999999999999995,2958.0,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Papua Selatan,4.629999999999999,1.8399999999999999,2283.5,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Riau,-1.1199999999999974,-0.6400000000000006,63419.5,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Sulawesi Barat,-3.2699999999999996,1.6799999999999997,18290.5,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Sulawesi Selatan,3.08,1.370000000000001,100317.0,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Sulawesi Tengah,-10.86,-1.459999999999999,22212.0,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Sulawesi Tenggara,-0.4400000000000013,4.559999999999999,16635.0,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Sulawesi Utara,-10.840000000000002,-3.4200000000000017,25384.0,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Sumatera Barat,0.6999999999999993,-2.6900000000000013,58260.5,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Sumatera Selatan,5.219999999999999,-3.1999999999999993,47554.0,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
Sumatera Utara,-1.3200000000000003,2.92,147610.0,0.3094530988399797,0.06627425068265697,0.15097496652667075,0.37943698077817767,0.09879843902870727
