record_id,platform,segment_scope,period,year,frequency,geography_scope,geography_evidence,transaction_measure,transaction_value,revenue_measure,revenue_value,currency,unit_scale,transaction_status,revenue_status,source_file,source_locator,source_url,reporting_vintage,period_match,scope_match,directness_class,sample_family,canonical_record,admission_status,admission_reason,structural_break,source_dataset,full_pair,positive_denominator,ratio_eligible
OBS-0001,Grab,country allocation,FY2021,2021.0,annual,Indonesia,explicit Indonesia anchor plus non-country allocation,GTV/GMV,1.879732,platform/segment revenue,0.079,USD,billion,derived_group_rate_proxy,direct_country_disclosure,,,,,yes,conditional,mixed_direct_derived_pair,conditional_indonesia_country_reconstruction,True,conditional_case,Uses original total-GMV reporting basis through FY2023 only; do not extend mechanically to FY2024 after Grab moved to on-demand-only GMV reporting.,,data/longitudinal/indonesia_platform_year_extension.csv,True,True,True
OBS-0002,Tokopedia e-commerce segment,e-commerce segment,FY2021,2021.0,annual,Indonesia-aligned business segment,Indonesia-aligned business segment; not explicit geographic line,GTV/GMV,230598613.0,platform/segment revenue,1997222.0,IDR,million,direct_business_segment_disclosure,direct_business_segment_net_revenue,,,,,yes,yes_with_segment_caveat,direct_pair_segment,indonesia_aligned_direct_segment,True,candidate_core,FY2021 revenue is from the FY2022 segment-reporting comparative; FY2022 revenue uses the FY2023 restated comparative.,,data/longitudinal/indonesia_platform_year_extension.csv,True,True,True
OBS-0003,Grab,country allocation,FY2022,2022.0,annual,Indonesia,explicit Indonesia anchor plus non-country allocation,GTV/GMV,3.826012,platform/segment revenue,0.275,USD,billion,derived_group_rate_proxy,direct_country_disclosure,,,,,yes,conditional,mixed_direct_derived_pair,conditional_indonesia_country_reconstruction,True,conditional_case,Uses original total-GMV reporting basis through FY2023 only; do not extend mechanically to FY2024 after Grab moved to on-demand-only GMV reporting.,,data/longitudinal/indonesia_platform_year_extension.csv,True,True,True
OBS-0004,Shopee,country allocation,FY2022,2022.0,annual,Indonesia,explicit Indonesia anchor plus non-country allocation,GTV/GMV,18.684,platform/segment revenue,1.569456,USD,billion,external_country_market_estimate,derived_using_disclosed_group_rate,,,,,yes,conditional,mixed_direct_derived_pair,conditional_indonesia_country_reconstruction,True,conditional_case,External country-market estimates combined with a company-wide monetization rate; not a Sea geographic disclosure.,,data/longitudinal/indonesia_platform_year_extension.csv,True,True,True
OBS-0005,Tokopedia e-commerce segment,e-commerce segment,FY2022,2022.0,annual,Indonesia-aligned business segment,Indonesia-aligned business segment; not explicit geographic line,GTV/GMV,273146166.0,platform/segment revenue,4030919.0,IDR,million,direct_business_segment_disclosure,direct_business_segment_net_revenue,,,,,yes,yes_with_segment_caveat,direct_pair_segment,indonesia_aligned_direct_segment,True,candidate_core,FY2021 revenue is from the FY2022 segment-reporting comparative; FY2022 revenue uses the FY2023 restated comparative.,,data/longitudinal/indonesia_platform_year_extension.csv,True,True,True
OBS-0006,Grab,country allocation,FY2023,2023.0,annual,Indonesia,explicit Indonesia anchor plus non-country allocation,GTV/GMV,5.381397,platform/segment revenue,0.605,USD,billion,derived_group_rate_proxy,direct_country_disclosure,,,,,yes,conditional,mixed_direct_derived_pair,conditional_indonesia_country_reconstruction,True,conditional_case,Uses original total-GMV reporting basis through FY2023 only; do not extend mechanically to FY2024 after Grab moved to on-demand-only GMV reporting.,,data/longitudinal/indonesia_platform_year_extension.csv,True,True,True
OBS-0007,Shopee,country allocation,FY2023,2023.0,annual,Indonesia,explicit Indonesia anchor plus non-country allocation,GTV/GMV,21.52,platform/segment revenue,2.152,USD,billion,external_country_market_estimate,derived_using_disclosed_group_rate,,,,,yes,conditional,mixed_direct_derived_pair,conditional_indonesia_country_reconstruction,True,conditional_case,External country-market estimates combined with a company-wide monetization rate; not a Sea geographic disclosure.,,data/longitudinal/indonesia_platform_year_extension.csv,True,True,True
OBS-0008,Tokopedia e-commerce segment,e-commerce segment,FY2023,2023.0,annual,Indonesia-aligned business segment,Indonesia-aligned business segment; not explicit geographic line,GTV/GMV,248836156.0,platform/segment revenue,6175190.0,IDR,million,direct_business_segment_disclosure,direct_business_segment_net_revenue,,,,,yes,yes_with_segment_caveat,direct_pair_segment,indonesia_aligned_direct_segment,True,candidate_core,FY2023 direct e-commerce-segment figures.,,data/longitudinal/indonesia_platform_year_extension.csv,True,True,True
OBS-0009,Shopee,country allocation,FY2024,2024.0,annual,Indonesia,explicit Indonesia anchor plus non-country allocation,GTV/GMV,25.99,platform/segment revenue,2.80692,USD,billion,external_country_market_estimate,derived_using_disclosed_group_rate,,,,,yes,conditional,mixed_direct_derived_pair,conditional_indonesia_country_reconstruction,True,conditional_case,External country-market estimates combined with a company-wide monetization rate; not a Sea geographic disclosure.,,data/longitudinal/indonesia_platform_year_extension.csv,True,True,True
OBS-0010,Blibli/GDN,1P Retail,2022Q4,2022.0,quarter,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,2631.0,net revenue,2336.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2022_linked_0.pdf,page 2,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,blibli_fy2022_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
