evidence_layer,metric,value_2023,value_2024,unit,growth_2023_2024_percent,interpretive_boundary,source_locator
BPS e-commerce statistics,bps_ecommerce_total_value,1100.87,1288.93,IDR trillion,17.082852652901813,BPS national e-commerce estimate; not a payment-instrument series,outputs/hypothesis_tests_2026-09-10/bps_national_levels.csv
BPS e-commerce statistics,bps_marketplace_component_value,200.68,203.58,IDR trillion,1.4450867052023142,BPS marketplace sales-media component; not a payment-instrument series,outputs/hypothesis_tests_2026-09-10/bps_national_levels.csv
BPS e-commerce statistics,bps_nonmarketplace_component_value,900.1899999999998,1085.3500000000001,IDR trillion,20.56899099079088,BPS non-marketplace sales-media component; not a payment-instrument series,outputs/hypothesis_tests_2026-09-10/bps_national_levels.csv
BPS e-commerce statistics,bps_estimated_ecommerce_businesses,3816750.0,4400972.0,businesses,15.306792428112924,BPS estimated business count; not a payment-instrument series,outputs/hypothesis_tests_2026-09-10/bps_national_levels.csv
BPS e-commerce statistics,bps_implied_value_per_business,288.431256959455,292.8739378482753,IDR million per business,1.5402910681919568,Arithmetic from BPS national totals; not a payment-instrument series,outputs/hypothesis_tests_2026-09-10/bps_national_levels.csv
Bank Indonesia SPIP,apmk_electronic_money_merchants,1315095.0,1496926.0,Unit,13.826453602211242,Payment-system activity; not e-commerce-only and not an issuer sample,SPIP tables 5g row 17
Bank Indonesia SPIP,atm_debit_shopping_value,567795.9179712179,531666.755989468,Rp Miliar/Billions of Rp,-6.363054195747376,Payment-system activity; not e-commerce-only and not an issuer sample,SPIP tables 5a row 19
Bank Indonesia SPIP,atm_debit_shopping_volume,1375725.4340000001,1266526.793,Ribu Transaksi/ Thousands of Transaction,-7.937531596148428,Payment-system activity; not e-commerce-only and not an issuer sample,SPIP tables 5a row 13
Bank Indonesia SPIP,credit_card_shopping_value,397011.54245201504,427981.75888758997,Rp Miliar/Billions of Rp,7.8008352715130735,Payment-system activity; not e-commerce-only and not an issuer sample,SPIP tables 5c row 21
Bank Indonesia SPIP,credit_card_shopping_volume,388261.348,454820.16899999994,Ribu Transaksi/ Thousands of Transaction,17.14278831587428,Payment-system activity; not e-commerce-only and not an issuer sample,SPIP tables 5c row 13
Bank Indonesia SPIP,electronic_money_instruments,809.783312,922.069268,Juta Unit/ Millions of Unit,13.866173127558845,Payment-system activity; not e-commerce-only and not an issuer sample,SPIP tables 5e row 7
Bank Indonesia SPIP,electronic_money_shopping_value,457729.1938397822,597199.3267879852,Rp Miliar/Billions of Rp,30.470010395933222,Payment-system activity; not e-commerce-only and not an issuer sample,SPIP tables 5e row 27
Bank Indonesia SPIP,electronic_money_shopping_volume,7734227.233,10385213.384,Ribu Transaksi/ Thousands of Transaction,34.27603134918134,Payment-system activity; not e-commerce-only and not an issuer sample,SPIP tables 5e row 17
Bank Indonesia SPIP,electronic_money_total_value,1859951.4633803072,2503958.868913521,Rp Miliar/Billions of Rp,34.62495759769904,Payment-system activity; not e-commerce-only and not an issuer sample,SPIP tables 5e row 26
Bank Indonesia SPIP,electronic_money_total_volume,20407737.756,21670349.061999995,Ribu Transaksi/ Thousands of Transaction,6.186924396501414,Payment-system activity; not e-commerce-only and not an issuer sample,SPIP tables 5e row 16
Bank Indonesia SPIP,internet_banking_payment_purchase_value,1945319.1638207673,2753192.7561281137,Rp Miliar/ Billions of Rp,41.52910264455607,Payment-system activity; not e-commerce-only and not an issuer sample,SPIP tables 7 row 37
Bank Indonesia SPIP,internet_banking_payment_purchase_volume,683083.7239999999,80606.504,Ribu Transaksi/  Thousand Transaction ,-88.19961577652815,Payment-system activity; not e-commerce-only and not an issuer sample,SPIP tables 7 row 33
Bank Indonesia SPIP,internet_banking_total_value,43945073.91033622,64788640.2088657,Rp Miliar/ Billions of Rp,47.43095060224012,Payment-system activity; not e-commerce-only and not an issuer sample,SPIP tables 7 row 36
Bank Indonesia SPIP,internet_banking_total_volume,3710195.962,2453659.337,Ribu Transaksi/  Thousand Transaction ,-33.86712286546335,Payment-system activity; not e-commerce-only and not an issuer sample,SPIP tables 7 row 32
Bank Indonesia SPIP,mobile_banking_payment_purchase_value,989754.2865744518,1809708.500795369,Rp Miliar/ Billions of Rp,82.84421955461146,Payment-system activity; not e-commerce-only and not an issuer sample,SPIP tables 7 row 27
Bank Indonesia SPIP,mobile_banking_payment_purchase_volume,2799464.5039999997,6238325.694,Ribu Transaksi/  Thousand Transaction ,122.83996403906539,Payment-system activity; not e-commerce-only and not an issuer sample,SPIP tables 7 row 23
Bank Indonesia SPIP,mobile_banking_total_value,14378353.034957472,23077473.363156892,Rp Miliar/ Billions of Rp,60.501507419171176,Payment-system activity; not e-commerce-only and not an issuer sample,SPIP tables 7 row 26
Bank Indonesia SPIP,mobile_banking_total_volume,12334036.311999999,19550661.614,Ribu Transaksi/  Thousand Transaction ,58.50984316447019,Payment-system activity; not e-commerce-only and not an issuer sample,SPIP tables 7 row 22
Bank Indonesia SPIP,nonbank_domestic_transfer_value,775163.7154498849,1272290.0956365862,Rp Miliar/ Billions of Rp,64.13179181099595,Payment-system activity; not e-commerce-only and not an issuer sample,SPIP tables 6 row 16
Bank Indonesia SPIP,nonbank_domestic_transfer_volume,4233928.481,6125591.684,Ribu Transaksi/ Thousand of Transactions,44.67867635197309,Payment-system activity; not e-commerce-only and not an issuer sample,SPIP tables 6 row 11
Bank Indonesia SPIP,proprietary_channel_total_value,58324902.72564139,87867187.42528903,Rp Miliar/ Billions of Rp,50.65123698296363,Payment-system activity; not e-commerce-only and not an issuer sample,SPIP tables 7 row 9
Bank Indonesia SPIP,proprietary_channel_total_volume,16044326.916999998,22004368.015,Ribu Transaksi/  Thousand Transaction ,37.14734266406001,Payment-system activity; not e-commerce-only and not an issuer sample,SPIP tables 7 row 8
Bank Indonesia QRIS reports,qris_transaction_value,229.96,659.94,Rp trillion,186.98034440772312,QRIS nationally; not e-commerce-only and not directly comparable to BPS transaction value,Monetary-Policy-Report-Quarter-IV-2023.pdf p.8; LKTBI-2024.pdf p.31
Bank Indonesia QRIS reports,qris_users,45.78,55.4,million users,21.013543031891647,QRIS nationally; not e-commerce-only and not directly comparable to BPS transaction value,Monetary-Policy-Report-Quarter-IV-2023.pdf p.8; LKTBI-2024.pdf p.31
Bank Indonesia QRIS reports,qris_merchants,30.41,35.9,million merchants,18.05327195001645,QRIS nationally; not e-commerce-only and not directly comparable to BPS transaction value,Monetary-Policy-Report-Quarter-IV-2023.pdf p.8; LKTBI-2024.pdf p.31
