claim,stated_in_proposal,reproduced_value,status,source
FY2023 total transaction value V (US$bn),43.233,43.232567,PASS,data/indonesia_fy2023/fy2023_indonesia_main_summary.csv
FY2023 total platform revenue R (US$bn),3.162,3.162279,PASS,data/indonesia_fy2023/fy2023_indonesia_main_summary.csv
FY2023 total wedge W (US$bn),40.07,40.070288,PASS,data/indonesia_fy2023/fy2023_indonesia_main_summary.csv
FY2023 aggregate Ecosystem Ratio E,12.671,12.671332,PASS,data/indonesia_fy2023/fy2023_indonesia_main_summary.csv
Grab FY2023 V,5.381,5.381397,PASS,data/indonesia_fy2023/fy2023_indonesia_main_rebuilt.csv
Grab FY2023 R,0.605,0.605,PASS,data/indonesia_fy2023/fy2023_indonesia_main_rebuilt.csv
Grab FY2023 wedge,4.776,4.776397,PASS,data/indonesia_fy2023/fy2023_indonesia_main_rebuilt.csv
Grab FY2023 E,7.895,7.894871,PASS,data/indonesia_fy2023/fy2023_indonesia_main_rebuilt.csv
Tokopedia FY2023 V,16.331,16.33117,PASS,data/indonesia_fy2023/fy2023_indonesia_main_rebuilt.csv
Tokopedia FY2023 R,0.405,0.405279,PASS,data/indonesia_fy2023/fy2023_indonesia_main_rebuilt.csv
Tokopedia FY2023 wedge,15.926,15.925891,PASS,data/indonesia_fy2023/fy2023_indonesia_main_rebuilt.csv
Tokopedia FY2023 E,39.296,39.296113,PASS,data/indonesia_fy2023/fy2023_indonesia_main_rebuilt.csv
Shopee FY2023 V,21.52,21.52,PASS,data/indonesia_fy2023/fy2023_indonesia_main_rebuilt.csv
Shopee FY2023 R,2.152,2.152,PASS,data/indonesia_fy2023/fy2023_indonesia_main_rebuilt.csv
Shopee FY2023 wedge,19.368,19.368,PASS,data/indonesia_fy2023/fy2023_indonesia_main_rebuilt.csv
Shopee FY2023 E,9.0,9.0,PASS,data/indonesia_fy2023/fy2023_indonesia_main_rebuilt.csv
leave-one-out excl Grab (wedge US$bn),35.29,35.293891,PASS,data/indonesia_fy2023/fy2023_indonesia_leave_one_platform_out.csv
leave-one-out excl Tokopedia (wedge US$bn),24.14,24.144397,PASS,data/indonesia_fy2023/fy2023_indonesia_leave_one_platform_out.csv
leave-one-out excl Shopee (wedge US$bn),20.7,20.702288,PASS,data/indonesia_fy2023/fy2023_indonesia_leave_one_platform_out.csv
all-tier candidate levels,17,17,PASS,outputs/hypothesis_tests_2026-09-10/indonesia_longitudinal_candidate_levels.csv
all-tier transitions,12,12,PASS,outputs/hypothesis_tests_2026-09-10/indonesia_longitudinal_candidate_transitions.csv
all-tier revenue grows faster,10,10,PASS,outputs/hypothesis_tests_2026-09-10/indonesia_longitudinal_transition_summary.csv
all-tier transaction grows faster,2,2,PASS,outputs/hypothesis_tests_2026-09-10/indonesia_longitudinal_transition_summary.csv
all-tier opposite-sign transitions,2,2,PASS,outputs/hypothesis_tests_2026-09-10/indonesia_longitudinal_transition_summary.csv
all-tier median absolute divergence (pp),42.02,42.017199,PASS,outputs/hypothesis_tests_2026-09-10/indonesia_longitudinal_transition_summary.csv
global matched issuer-years,48,48.0,PASS,data/global_ecommerce/global_platform_summary.csv
global issuers,8,8.0,PASS,data/global_ecommerce/global_platform_summary.csv
global annual transitions,40,40.0,PASS,data/global_ecommerce/global_platform_summary.csv
global clean-scope transitions,29,29.0,PASS,data/global_ecommerce/global_platform_summary.csv
global clean opposite-direction transitions,4,4.0,PASS,data/global_ecommerce/global_platform_summary.csv
global median abs growth divergence (pp),7.1,7.104799,PASS,data/global_ecommerce/global_platform_summary.csv
global take rate minimum (%),0.22,0.21965,PASS,data/global_ecommerce/global_platform_issuer_summary.csv
global take rate maximum (%),74.63,74.626028,PASS,data/global_ecommerce/global_platform_issuer_summary.csv
BPS total e-commerce growth 2023-24 (%),17.08,17.082853,PASS,outputs/hypothesis_tests_2026-09-10/bps_national_growth_anatomy.csv
BPS business-count growth 2023-24 (%),15.31,15.306792,PASS,outputs/hypothesis_tests_2026-09-10/bps_national_growth_anatomy.csv
BPS value per business growth (%),1.54,1.540291,PASS,outputs/hypothesis_tests_2026-09-10/bps_national_growth_anatomy.csv
BPS marketplace component growth (%),1.42,1.416208,PASS,outputs/hypothesis_tests_2026-09-10/bps_national_growth_anatomy.csv
BPS non-marketplace component growth (%),20.58,20.575429,PASS,outputs/hypothesis_tests_2026-09-10/bps_national_growth_anatomy.csv
share of nominal increase outside marketplace (%),98.49,98.488755,PASS,outputs/hypothesis_tests_2026-09-10/bps_national_levels.csv
Tokopedia net revenue change (%),53.2,53.195586,PASS,data/measurement/source_extracts/tokopedia_fy2022_2023_revenue_components.csv
Tokopedia share from lower incentives (%),60.56,60.561422,PASS,data/measurement/source_extracts/tokopedia_fy2022_2023_revenue_components.csv
Tokopedia share from higher gross revenue (%),39.44,39.438578,PASS,data/measurement/source_extracts/tokopedia_fy2022_2023_revenue_components.csv
ASEAN canonical country-years,42,42,PASS,data/asean_corroboration/asean_country_year_canonical_2019_2025.csv
ASEAN source-vintage rows,450,450,PASS,data/asean_corroboration/economy_sea_source_vintages_2019_2025.csv
quarterly accounting observations,47,47,PASS,data/quarterly/clean_event_panel_accounting.csv
BPS common complete provinces (change analysis),36,36,PASS,outputs/hypothesis_tests_2026-09-10/bps_within_province_changes.csv
