action,scope,original_period,reviewed_period,tv,revenue,gpbd,source_url,source_page,source_column,review_note
relabel,1P Retail,2023Q1,2022FY,9940,8902,366,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,2,FY22,The table starts with FY22 before 1Q23 and 1Q22; the stored first numeric column was assigned to the wrong period.
relabel,3P Retail,2023Q1,2022FY,37050,199,1314,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,2,FY22,The table starts with FY22 before 1Q23 and 1Q22; the stored first numeric column was assigned to the wrong period.
relabel,Institutions,2023Q1,2022FY,10433,2615,130,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,2,FY22,The table starts with FY22 before 1Q23 and 1Q22; the stored first numeric column was assigned to the wrong period.
relabel,Physical Stores,2023Q1,2022FY,3973,3553,772,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,2,FY22,The table starts with FY22 before 1Q23 and 1Q22; the stored first numeric column was assigned to the wrong period.
relabel,Group,2023Q1,2022FY,61396,15269,2582,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,2,FY22,The table starts with FY22 before 1Q23 and 1Q22; the stored first numeric column was assigned to the wrong period.
relabel,1P Retail,2022Q1,2023Q1,2399,2094,165,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,2,1Q23,The stored second numeric column is 1Q23 rather than 1Q22.
relabel,3P Retail,2022Q1,2023Q1,13316,275,468,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,2,1Q23,The stored second numeric column is 1Q23 rather than 1Q22.
relabel,Institutions,2022Q1,2023Q1,1074,461,24,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,2,1Q23,The stored second numeric column is 1Q23 rather than 1Q22.
relabel,Physical Stores,2022Q1,2023Q1,1126,1000,214,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,2,1Q23,The stored second numeric column is 1Q23 rather than 1Q22.
relabel,Group,2022Q1,2023Q1,17915,3830,871,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,2,1Q23,The stored second numeric column is 1Q23 rather than 1Q22.
recover,1P Retail,,2022Q1,2129,1909,106,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,2,1Q22,Directly reported third numeric column omitted by the earlier two-period extraction.
recover,3P Retail,,2022Q1,5632,40,228,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,2,1Q22,Directly reported third numeric column; also corroborated by the 3P narrative on PDF page 3. Not inferred from H1 minus Q2.
recover,Institutions,,2022Q1,1354,370,13,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,2,1Q22,Directly reported third numeric column omitted by the earlier two-period extraction.
recover,Physical Stores,,2022Q1,938,849,186,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,2,1Q22,Directly reported third numeric column omitted by the earlier two-period extraction.
recover,Group,,2022Q1,10053,3168,533,https://asset-about.blibli.com/2023/05/Earnings-Release-1Q23-PT-Global-Digital-Niaga-Tbk.pdf,2,1Q22,Directly reported third numeric column omitted by the earlier two-period extraction.
