year,geography,report_scope,url,filename,status,bytes,sha256,retrieved_at_utc,error
2016,SEA-6,regional_full_report,https://storage.googleapis.com/gweb-economy-sea.appspot.com/assets/pdf/e-Conomy_SEA_2016_report.pdf,economy_sea_2016_regional.pdf,cached,1160189,066cef280a27cf712e48ec24d3d52177b0878317fdcb37dfd232ee563c7b5d93,2026-09-09T16:09:29.749068+00:00,
2017,SEA-6,regional_full_report,https://storage.googleapis.com/gweb-economy-sea.appspot.com/assets/pdf/e-Conomy_SEA_2017_report.pdf,economy_sea_2017_regional.pdf,cached,857223,62cc1e35f609001cadf66b093b35b88cf5f4ec7a00f5c4f6ed71f1d75fb19a0d,2026-09-09T16:09:30.237068+00:00,
2018,SEA-6,regional_full_report,https://storage.googleapis.com/gweb-economy-sea.appspot.com/assets/pdf/e-Conomy_SEA_2018_report.pdf,economy_sea_2018_regional.pdf,cached,1762746,afe91672e8789ee61d725c08c574e2a1232c9b860b55dd4700a3bf22354d6618,2026-09-09T16:09:30.661068+00:00,
2019,SEA-6,regional_full_report,https://storage.googleapis.com/gweb-economy-sea.appspot.com/assets/pdf/e-Conomy_SEA_2019_report.pdf,economy_sea_2019_regional.pdf,cached,8681535,78b61a90d3c3ad086d2c0c7b7e410fc546d59c1c631048248a37de5c5f3a575c,2026-09-09T16:09:31.549068+00:00,
2020,SEA-6,regional_full_report,https://storage.googleapis.com/gweb-economy-sea.appspot.com/assets/pdf/e-Conomy_SEA_2020_Report.pdf,economy_sea_2020_regional.pdf,cached,2858354,ba4d2dc57e6a33c86a830dd5867a1d800b52d6b062503decd22ff38116fb6884,2026-09-09T16:09:32.229068+00:00,
2021,SEA-6,regional_full_report,https://services.google.com/fh/files/misc/e_conomy_sea_2021_report.pdf,economy_sea_2021_regional.pdf,cached,4486120,f26308bb5ae3a6f36fafc3139de1b393b04dacd418e53aefd245d0231ad99b22,2026-09-09T16:09:34.701068+00:00,
2022,SEA-6,regional_full_report,https://services.google.com/fh/files/misc/e_conomy_sea_2022_report.pdf,economy_sea_2022_regional.pdf,cached,6449762,22ec00dd2024a2b18accda9a7ed59160428de34db9e16c7869544177a3ddeea9,2026-09-09T16:09:36.961067+00:00,
2023,Indonesia,country_report,https://services.google.com/fh/files/misc/indonesia_e_conomy_sea_2023_report.pdf,economy_sea_2023_indonesia.pdf,cached,1476779,b42abc08a7d25901e9cbb35b69cf67cfdfd2fec2446597dc644380f50d3d52ca,2026-09-09T16:09:38.837067+00:00,
2023,Malaysia,country_report,https://services.google.com/fh/files/misc/malaysia_e_conomy_sea_2023_report.pdf,economy_sea_2023_malaysia.pdf,cached,768178,323a7c42a451209c5951fd01fa88b105170bab91a9b33c2fda00cfe84bdbd017,2026-09-09T16:09:40.805067+00:00,
2023,Philippines,country_report,https://services.google.com/fh/files/misc/philippines_e_conomy_sea_2023_report.pdf,economy_sea_2023_philippines.pdf,cached,1742743,2b5632b3891ae98e8efbd7c7eda08c46447c313d7a3546222f2e90eed361d66b,2026-09-09T16:09:42.837066+00:00,
