file,rows,columns,bytes,role
source_extracts/grab_country_revenue_2023_2025.csv,21,8,4719,new extract or inventory: see file-specific status
source_extracts/shopee_additional_country_anchors.csv,4,9,818,new extract or inventory: see file-specific status
source_extracts/bukalapak_annual_candidates.csv,5,10,1226,new extract or inventory: see file-specific status
source_extracts/blibli_reporting_vintage_conflicts.csv,8,6,531,new extract or inventory: see file-specific status
source_extracts/blibli_additional_reported_pairs.csv,55,14,47274,new extract or inventory: see file-specific status
source_extracts/blibli_prospectus_2019_2020_candidates.csv,8,11,2437,new extract or inventory: see file-specific status
source_extracts/blibli_reported_pairs_all_vintages.csv,90,17,71776,new extract or inventory: see file-specific status
source_extracts/momentum_2025_country_market_estimates.csv,6,13,1467,new extract or inventory: see file-specific status
source_extracts/blibli_annual_group_candidates_all_vintages.csv,6,17,5006,new extract or inventory: see file-specific status
broad_archive/document_manifest.csv,519,9,244050,new extract or inventory: see file-specific status
broad_archive/asean_worldbank_context_2000_2025.csv,2860,9,810776,new extract or inventory: see file-specific status
broad_archive/platform_market_events.csv,4,4,406,new extract or inventory: see file-specific status
broad_archive/momentum_publisher_articles.csv,875,8,6490377,new extract or inventory: see file-specific status
broad_archive/searchable_source_excerpts.csv,25248,8,16226805,new extract or inventory: see file-specific status
broad_archive/sea_gmv_disclosure_candidates.csv,41,11,25344,new extract or inventory: see file-specific status
broad_archive/preserved_existing_manifest.csv,246,5,85469,existing material: retain original scope/status
broad_archive/platform_market_daily_2010_2026.csv,22393,13,7217157,new extract or inventory: see file-specific status
broad_archive/issuer_document_index.csv,243,5,40214,new extract or inventory: see file-specific status
broad_archive/preserved_existing/07_EVENT_AND_MARKET/market_index_daily.csv,4149,4,136154,existing material: retain original scope/status
broad_archive/preserved_existing/07_EVENT_AND_MARKET/contamination_ledger_REVIEWED.csv,47,6,5950,existing material: retain original scope/status
broad_archive/preserved_existing/07_EVENT_AND_MARKET/event_session_ledger_REVIEWED.csv,47,8,10435,existing material: retain original scope/status
broad_archive/preserved_existing/07_EVENT_AND_MARKET/market_daily.csv,4413,6,182287,existing material: retain original scope/status
broad_archive/preserved_existing/07_EVENT_AND_MARKET/clean_event_panel_accounting.csv,47,12,5889,existing material: retain original scope/status
broad_archive/preserved_existing/05_RESULTS/historical_within_platform_ratios.csv,8,9,2120,existing material: retain original scope/status
broad_archive/preserved_existing/05_RESULTS/fy2023_indonesia_main_sensitivity.csv,5,8,1064,existing material: retain original scope/status
broad_archive/preserved_existing/05_RESULTS/event_accounting_summary_rebuilt.csv,3,10,854,existing material: retain original scope/status
broad_archive/preserved_existing/05_RESULTS/reproduction_checks.csv,3,5,385,existing material: retain original scope/status
broad_archive/preserved_existing/05_RESULTS/event_accounting_ratio_checks.csv,47,7,4041,existing material: retain original scope/status
broad_archive/preserved_existing/05_RESULTS/indonesia_platform_year_extension.csv,9,13,3642,existing material: retain original scope/status
broad_archive/preserved_existing/05_RESULTS/fy2023_indonesia_leave_one_platform_out.csv,3,9,740,existing material: retain original scope/status
broad_archive/preserved_existing/05_RESULTS/fy2023_indonesia_main_one_way_sensitivity.csv,14,15,4712,existing material: retain original scope/status
broad_archive/preserved_existing/05_RESULTS/fy2023_indonesia_main_rebuilt.csv,3,13,1358,existing material: retain original scope/status
broad_archive/preserved_existing/05_RESULTS/fy2023_indonesia_main_summary.csv,1,6,241,existing material: retain original scope/status
broad_archive/preserved_existing/00_READ_FIRST/FILE_MANIFEST.csv,232,8,38650,existing material: retain original scope/status
broad_archive/preserved_existing/00_READ_FIRST/DATASET_MAP.csv,11,6,3265,existing material: retain original scope/status
