module,relative_path,size_bytes,size_human,file_type,data_rows_or_records,structure_or_pages,count_interpretation
00_READ_FIRST,00_READ_FIRST/DATASET_MAP.csv,3265,3.2 KB,CSV table,11,6 columns,data rows exclude header
00_READ_FIRST,00_READ_FIRST/Invisible_Ledger_Data_Summary.xlsx,31187,30.5 KB,Excel workbook,249,Start_Here:7; FY2023_Inputs:13; FY2023_Cases:5; Sensitivity:16; Leave_One_Out:5; ID_Extension:11; Grab_Country_Revenue:22; Historical_Ratios:10; Event_Accounting:49; Event_Sessions:49; Contamination:49; Data_Map:13,approximate data rows across sheets; headers excluded
00_READ_FIRST,00_READ_FIRST/ORIGINAL_SOURCE_URLS.md,4177,4.1 KB,Documentation,N/A,42 lines,documentation; rows are not applicable
00_READ_FIRST,00_READ_FIRST/README.md,4022,3.9 KB,Documentation,N/A,38 lines,documentation; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/EDGAR_GRAB_GMV_REVENUE_BY_SEGMENT_ANNUAL_2019_2021.csv,2385,2.3 KB,CSV table,15,8 columns,data rows exclude header
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/EDGAR_GRAB_REVENUE_BY_GEOGRAPHY_ANNUAL_2019_2021.csv,2474,2.4 KB,CSV table,15,8 columns,data rows exclude header
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/EDGAR_SEA_SHOPEE_GMV_QUARTERLY_2017_2021.csv,3593,3.5 KB,CSV table,20,7 columns,data rows exclude header
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/EDGAR_SEA_SHOPEE_SEGMENT_REVENUE_ANNUAL_2016_2021.csv,1778,1.7 KB,CSV table,6,8 columns,data rows exclude header
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/eria_indonesia_ecommerce_2022.pdf,201966,197.2 KB,PDF source document,N/A,18 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/goto_fy2021_annual_report.pdf,31871171,30.4 MB,PDF source document,N/A,434 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/goto_fy2022_annual_report.pdf,7426761,7.1 MB,PDF source document,N/A,518 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/goto_q2_2022_pr.pdf,355109,346.8 KB,PDF source document,N/A,22 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/grab_20f_fy2021.htm,157344,153.7 KB,HTML/XML source document,N/A,1859 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/grab_20f_fy2021_full.htm,6443400,6.1 MB,HTML/XML source document,N/A,29767 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/grab_20f_list.xml,11292,11.0 KB,HTML/XML source document,N/A,170 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/grab_filing_index.html,10256,10.0 KB,HTML/XML source document,N/A,230 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/grab_fy2022_20f.pdf,2560387,2.4 MB,PDF source document,N/A,383 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/grab_fy2024_20f_cloudfront.pdf,2224844,2.1 MB,PDF source document,N/A,297 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/grab_submissions.json,60417,59.0 KB,JSON data/source,N/A,structured object,source/API object; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/katadata_momentumworks_indonesia_2024.html,59493,58.1 KB,HTML/XML source document,N/A,1 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/kemendag_pmse_2025_report.pdf,1434321,1.4 MB,PDF source document,N/A,20 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/momentum_works_sea_2022.html,250136,244.3 KB,HTML/XML source document,N/A,2165 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/momentum_works_sea_2023.html,250342,244.5 KB,HTML/XML source document,N/A,2163 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/momentum_works_sea_2024_press_release.html,253423,247.5 KB,HTML/XML source document,N/A,2164 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/sea_20f_fy2018.htm,2610855,2.5 MB,HTML/XML source document,N/A,25734 lines,source document; rows are not applicable
